row_label_raw,row_label_full,Số cuối năm,Dưới 1 năm > Số cuối năm,Trên 1 năm > Số cuối năm,VND Tổng cộng > Số cuối năm,numeric__Dưới 1 năm > Số cuối năm,numeric__Trên 1 năm > Số cuối năm,numeric__VND Tổng cộng > Số cuối năm
Vay và nợ,Vay và nợ,Vay và nợ,4.400.210.324.546,651.348.629.164,5.051.558.953.710,4400210324546.0,651348629164.0,5051558953710.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,555.161.842.884,-,555.161.842.884,555161842884.0,,555161842884.0
"Chi phí phải trả và các khoảnphải trả, phải nộp khác","Chi phí phải trả và các khoảnphải trả, phải nộp khác","Chi phí phải trả và các khoảnphải trả, phải nộp khác",68.586.657.781,-,68.586.657.781,68586657781.0,,68586657781.0
,,,5.023.958.825.211,651.348.629.164,5.675.307.454.375,5023958825211.0,651348629164.0,5675307454375.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Vay và nợ,Số đầu năm > Vay và nợ,Vay và nợ,4.749.052.198.420,902.755.730.318,5.651.807.928.738,4749052198420.0,902755730318.0,5651807928738.0
Phải trả người bán,Số đầu năm > Phải trả người bán,Phải trả người bán,1.825.290.959.556,-,1.825.290.959.556,1825290959556.0,,1825290959556.0
"Chi phí phải trả và các khoảnphải trả, phải nộp khác","Số đầu năm > Chi phí phải trả và các khoảnphải trả, phải nộp khác","Chi phí phải trả và các khoảnphải trả, phải nộp khác",35.524.916.049,-,35.524.916.049,35524916049.0,,35524916049.0
,,,6.609.868.074.025,902.755.730.318,7.512.623.804.343,6609868074025.0,902755730318.0,7512623804343.0
