row_label_raw,row_label_full,Chi phí thuế TNDN hiện hành Điều chỉnh chi phí thuế TNDN trích thiếu năm trước,Năm nay > 157.276.375.729,VNDNăm trước > 91.648.631.969,numeric__Năm nay > 157.276.375.729,numeric__VNDNăm trước > 91.648.631.969
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,14.502(19.572.256.637),10.000.000(11.862.602.563),,
TỔNG CỘNG,Thu nhập thuế TNDN hoãn lại > TỔNG CỘNG,TỔNG CỘNG,137.704.133.594,79.796.029.406,137704133594.0,79796029406.0
