row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNĐTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNĐTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,101.664.537.676,10.166.363.635,111.830.901.311,101664537676.0,10166363635.0,111830901311.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,13.254.770.658,10.166.363.635,23.421.134.293,13254770658.0,10166363635.0,23421134293.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,114.919.308.334,20.332.727.270,135.252.035.604,114919308334.0,20332727270.0,135252035604.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(22.141.910.569),(98.841.842),(22.240.752.411),-22141910569.0,-98841842.0,-22240752411.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(11.397.631.570),(1.970.026.059),(13.367.657.629),-11397631570.0,-1970026059.0,-13367657629.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(33.539.542.139),(2.068.867.901),(35.608.410.040),-33539542139.0,-2068867901.0,-35608410040.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,79.522.627.107,10.067.521.793,89.590.148.900,79522627107.0,10067521793.0,89590148900.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,81.379.766.195,18.263.859.369,99.643.625.564,81379766195.0,18263859369.0,99643625564.0
