row_label_raw,row_label_full,Phải thu các bên liên quan (Thuyết minh số 32),Số cuối năm > 464.880.867.523,VND Số đầu năm > 253.691.581.754,numeric__Số cuối năm > 464.880.867.523,numeric__VND Số đầu năm > 253.691.581.754
Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,33.749.414.482,12.524.603.338,33749414482.0,12524603338.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,498.630.282.005,266.216.185.092,498630282005.0,266216185092.0
