row_label_raw,row_label_full,Công ty > Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Số cuối năm > Tỷ lệ sở hữu (%) > 45,Số cuối năm > Giá trị đầu tư (VND) > 51.952.178.134,Số đầu năm > Tỷ lệ sở hữu (%) > 45,Số đầu năm > Giá trị đầu tư (VND) > 44.456.331.634,"Địa điểm > Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",Ngành nghề kinh doanh > Cung cấp các dịch vụ đại lý vận tải biển,numeric__Số cuối năm > Tỷ lệ sở hữu (%) > 45,numeric__Số cuối năm > Giá trị đầu tư (VND) > 51.952.178.134,numeric__Số đầu năm > Tỷ lệ sở hữu (%) > 45,numeric__Số đầu năm > Giá trị đầu tư (VND) > 44.456.331.634,"numeric__Địa điểm > Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",numeric__Ngành nghề kinh doanh > Cung cấp các dịch vụ đại lý vận tải biển
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,,(17.966.537.833),,(7.172.099.617),,,,-17966537833.0,,-7172099617.0,,
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,33.985.640.301,,37.284.232.017,,,,33985640301.0,,37284232017.0,,
