row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,31.133.878.040.825,27.965.738.124.852,31133878040825.0,27965738124852.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,16.293.231.194.980,14.273.844.186.822,16293231194980.0,14273844186822.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,14.661.767.800.386,13.577.645.192.570,14661767800386.0,13577645192570.0
Hoạt động khác,Trong đó: > Hoạt động khác,Hoạt động khác,178.879.045.459,114.248.745.460,178879045459.0,114248745460.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(36.219.065.104),(15.606.362.602),-36219065104.0,-15606362602.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(21.522.581.327),(12.622.297.775),-21522581327.0,-12622297775.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(5.924.601.756),(1.914.216.114),-5924601756.0,-1914216114.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(8.533.133.954),(1.069.848.713),-8533133954.0,-1069848713.0
Thuế xuất khẩu,Trong đó: > Thuế xuất khẩu,Thuế xuất khẩu,(238.748.067),-,-238748067.0,
DOANH THU THUẦN,Trong đó: > DOANH THU THUẦN,DOANH THU THUẦN,31.097.658.975.721,27.950.131.762.250,31097658975721.0,27950131762250.0
