row_label_raw,row_label_full,col_0,Vốn cố phân,Thặng dư vốn cố phân,Cổ phiếu quỹ,Quỹ dự phòngtài chính,Quỹ khác,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cố phân,numeric__Thặng dư vốn cố phân,numeric__Cổ phiếu quỹ,numeric__Quỹ dự phòngtài chính,numeric__Quỹ khác,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.007.907.900.000,451.543.290.363,(81.035.546.498),8.525.313.060,2.007.734.351,879.156.291.073,2.268.104.982.349,1007907900000.0,451543290363.0,-81035546498.0,8525313060.0,2007734351.0,879156291073.0,2268104982349.0
Lợi nhuận thuầntrong năm,Năm trước > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,396.110.329.389,396.110.329.389,,,,,,396110329389.0,396110329389.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(192.626.196.000),(192.626.196.000),,,,,,-192626196000.0,-192626196000.0
Mua cổ phiếu quỹ,Năm trước > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(3.301.938),-,-,-,(3.301.938),,,-3301938.0,,,,-3301938.0
Trích lập quỹ khenthường và phúc lợi,Năm trước > Trích lập quỹ khenthường và phúc lợi,Trích lập quỹ khenthường và phúc lợi,-,-,-,-,-,(23.233.584.000),(23.233.584.000),,,,,,-23233584000.0,-23233584000.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,-,36.988.161.000,(36.988.161.000),-,,,,,36988161000.0,-36988161000.0,
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(25.717.883.234),-,(25.717.883.234),,,,,-25717883234.0,,-25717883234.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.007.907.900.000,451.543.290.363,(81.038.848.436),8.525.313.060,13.278.012.117,1.022.418.679.462,2.422.634.346.566,1007907900000.0,451543290363.0,-81038848436.0,8525313060.0,13278012117.0,1022418679462.0,2422634346566.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.007.907.900.000,451.543.290.363,(81.038.848.436),8.525.313.060,13.278.012.117,1.022.418.679.462,2.422.634.346.566,1007907900000.0,451543290363.0,-81038848436.0,8525313060.0,13278012117.0,1022418679462.0,2422634346566.0
Lợi nhuận thuầntrong năm,Năm nay > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,688.057.792.771,688.057.792.771,,,,,,688057792771.0,688057792771.0
Cổ tức công bố,Năm nay > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(144.469.647.000),(144.469.647.000),,,,,,-144469647000.0,-144469647000.0
Mua cổ phiếu quỹ,Năm nay > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(49.247.074),-,-,-,(49.247.074),,,-49247074.0,,,,-49247074.0
Tái phát hành cổphiếu quỹ (*),Năm nay > Tái phát hành cổphiếu quỹ (*),Tái phát hành cổphiếu quỹ (*),-,35.747.180.000,28.974.400.000,-,-,-,64.721.580.000,,35747180000.0,28974400000.0,,,,64721580000.0
Trích lập quỹ khenthường và phúc lợi,Năm nay > Trích lập quỹ khenthường và phúc lợi,Trích lập quỹ khenthường và phúc lợi,-,-,-,-,-,(16.413.694.648),(16.413.694.648),,,,,,-16413694648.0,-16413694648.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,-,-,18.465.406.480,(18.465.406.480),-,,,,,18465406480.0,-18465406480.0,
Sử dụng quỹ,Năm nay > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(25.138.263.228),-,(25.138.263.228),,,,,-25138263228.0,,-25138263228.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.007.907.900.000,487.290.470.363,(52.113.695.510),8.525.313.060,6.605.155.369,1.531.127.724.105,2.989.342.867.387,1007907900000.0,487290470363.0,-52113695510.0,8525313060.0,6605155369.0,1531127724105.0,2989342867387.0
