row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 16.1) > Đầu tư vào công ty liên kết (Thuyết minh số 16.2) > Đầu tư dài hạn khác (Thuyết minh số 16.3),Số cuối năm > 611.276.000.000 > 51.952.178.134 > 4.367.000.000,VND Số đầu năm > 467.276.000.000 > 44.456.331.634 > 8.640.000.000,numeric__Số cuối năm > 611.276.000.000 > 51.952.178.134 > 4.367.000.000,numeric__VND Số đầu năm > 467.276.000.000 > 44.456.331.634 > 8.640.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,667.595.178.134,520.372.331.634,667595178134.0,520372331634.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(17.966.537.833),(7.172.099.617),-17966537833.0,-7172099617.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,649.628.640.301,513.200.232.017,649628640301.0,513200232017.0
