row_label_raw,row_label_full,col_0,Giá trị ghi sô > Số cuối năm > Nguyên giá,Giá trị ghi sô > Số cuối năm > Dự phòng,Giá trị ghi sô > Số đầu năm > Nguyên giá,Giá trị ghi sô > Số đầu năm > Dự phòng,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi sô > Số cuối năm > Nguyên giá,numeric__Giá trị ghi sô > Số cuối năm > Dự phòng,numeric__Giá trị ghi sô > Số đầu năm > Nguyên giá,numeric__Giá trị ghi sô > Số đầu năm > Dự phòng,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,442.780.857.243,(2.306.413.077),596.445.121.409,(1.283.053.783),440.474.444.166,595.162.067.626,442780857243.0,-2306413077.0,596445121409.0,-1283053783.0,440474444166.0,595162067626.0
Phải thu bên liên quan,Tài sản tài chính > Phải thu bên liên quan,Phải thu bên liên quan,1.679.313.347.409,-,1.378.417.830.047,-,1.679.313.347.409,1.378.417.830.047,1679313347409.0,,1378417830047.0,,1679313347409.0,1378417830047.0
Phải thu khác,Tài sản tài chính > Phải thu khác,Phải thu khác,37.902.664.482,-,12.599.695.350,-,37.902.664.482,12.599.695.350,37902664482.0,,12599695350.0,,37902664482.0,12599695350.0
Tài sản tài chính dài hạn khác,Tài sản tài chính > Tài sản tài chính dài hạn khác,Tài sản tài chính dài hạn khác,27.012.549.901,-,2.012.549.901,-,27.012.549.901,2.012.549.901,27012549901.0,,2012549901.0,,27012549901.0,2012549901.0
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,4.367.000.000,-,8.640.000.000,-,4.367.000.000,8.640.000.000,4367000000.0,,8640000000.0,,4367000000.0,8640000000.0
Tiền và tương đương tiền,Tài sản tài chính > Tiền và tương đương tiền,Tiền và tương đương tiền,233.828.787.007,-,138.001.647.603,-,233.828.787.007,138.001.647.603,233828787007.0,,138001647603.0,,233828787007.0,138001647603.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,2.425.205.206.042,(2.306.413.077),2.136.116.844.310,(1.283.053.783),2.422.898.792.965,2.134.833.790.527,2425205206042.0,-2306413077.0,2136116844310.0,-1283053783.0,2422898792965.0,2134833790527.0
,,,,,Giá trị ghi sô,Giá trị ghi sô,Giá trị hợp lý,Giá trị hợp lý,,,,,,
,,,,,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,,,5.051.558.953.710,5.651.807.928.738,5.051.558.953.710,5.651.807.928.738,,,5051558953710.0,5651807928738.0,5051558953710.0,5651807928738.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,,,482.031.569.234,1.817.764.944.149,482.031.569.234,1.817.764.944.149,,,482031569234.0,1817764944149.0,482031569234.0,1817764944149.0
Phải trả bên liên quan,Nợ phải trả tài chính > Phải trả bên liên quan,Phải trả bên liên quan,,,75.363.541.585,7.600.376.656,75.363.541.585,7.600.376.656,,,75363541585.0,7600376656.0,75363541585.0,7600376656.0
Chi phí phải trả và khoản phải trả khác,Nợ phải trả tài chính > Chi phí phải trả và khoản phải trả khác,Chi phí phải trả và khoản phải trả khác,,,66.353.389.846,35.450.554.800,66.353.389.846,35.450.554.800,,,66353389846.0,35450554800.0,66353389846.0,35450554800.0
TỔNG CỘNG,Nợ phải trả tài chính > TỔNG CỘNG,TỔNG CỘNG,,,5.675.307.454.375,7.512.623.804.343,5.675.307.454.375,7.512.623.804.343,,,5675307454375.0,7512623804343.0,5675307454375.0,7512623804343.0
