row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,,,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Trả trước cho người bán > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Trả trước,6.458.860.936,3.945.888.000,,,6458860936.0,3945888000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,
Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen,Phải thu khác > Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen,Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen,Công ty con,Lợi nhuận được chia,166.481.143.413,46.126.688.336,,,166481143413.0,46126688336.0
Công ty TNHH MTV Hoa Sen Nghệ An,Phải thu khác > Công ty TNHH MTV Hoa Sen Nghệ An,Công ty TNHH MTV Hoa Sen Nghệ An,Công ty con,Cho vayChi hộ,100.000.000.000408.316.578,-,,,1.0000000000040832e+20,
Ông Hoàng Đức Huy,Phải thu khác > Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Phó Tổng Giám đốc,Ứng trước tiền mua đất,90.183.227.000,90.183.227.000,,,90183227000.0,90183227000.0
Công ty TNHH MTV Tôn Hoa Sen,Phải thu khác > Công ty TNHH MTV Tôn Hoa Sen,Công ty TNHH MTV Tôn Hoa Sen,Công ty con,Lợi nhuận được chiaChi hộ,86.686.768.532864.322.260,111.590.513.0503.849.519.179,,,8.668676853286432e+19,1.1159051305038495e+21
Công ty TNHH MTV Vận tải và Cơ khí Hoa Sen,Phải thu khác > Công ty TNHH MTV Vận tải và Cơ khí Hoa Sen,Công ty TNHH MTV Vận tải và Cơ khí Hoa Sen,Công ty con,Lợi nhuận được chiaChi hộ,11.487.160.126699.300,1.941.634.189,,,1.14871601266993e+16,1941634189.0
Công ty TNHH MTV Hoa Sen Bình Định,Phải thu khác > Công ty TNHH MTV Hoa Sen Bình Định,Công ty TNHH MTV Hoa Sen Bình Định,Công ty con,Lợi nhuận được chia,8.769.230.314,-,,,8769230314.0,
,,,,,464.880.867.523,253.691.581.754,,,464880867523.0,253691581754.0
