row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Năm nay,VNĐNăm trước,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Năm nay,numeric__VNĐNăm trước
Công ty TNHH MTV Hoa Sen Nghệ An,Công ty TNHH MTV Hoa Sen Nghệ An,Công ty TNHH MTV Hoa Sen Nghệ An,Công ty con,Cho vayGóp vốn,100.000.000.00080.000.000.000,-,,,1.000000000008e+22,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Bán hàngMua hàngNhận dịch vụ,1.161.329.951.726184.654.533.0723.948.581.818,268.778.547.4193.595.178.4583.057.072.818,,,1.1613299517261848e+34,2.6877854741935953e+31
Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Công ty liên kết,Góp vốn,7.495.846.500,-,,,7495846500.0,
Quỹ Đầu tư Chứng khoán Y tế Bản Việt,Quỹ Đầu tư Chứng khoán Y tế Bản Việt,Quỹ Đầu tư Chứng khoán Y tế Bản Việt,Bên liên quan,Thu hồi vốn,4.273.000.000,6.360.000.000,,,4273000000.0,6360000000.0
DNTN Kinh doanh Bất động sản Hương Sen,DNTN Kinh doanh Bất động sản Hương Sen,DNTN Kinh doanh Bất động sản Hương Sen,Bên liên quan,Trả lại quyền sử dụng đất đã chuyển nhượng,60.000.000.000,-,,,60000000000.0,
"Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:","Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:","Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:","Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:","Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:","Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:","Vào ngày kết thúc kỳ kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau:",,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VNDSố đầu năm,,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Công ty TNHH MTV Tôn Hoa Sen,Phải thu khách hàng > Công ty TNHH MTV Tôn Hoa Sen,Công ty TNHH MTV Tôn Hoa Sen,Công ty con,Bán hàng,741.762.003.581,413.269.247.273,,,741762003581.0,413269247273.0
Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen,Phải thu khách hàng > Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen,Công ty TNHH MTV Vật liệu Xây dựng Hoa Sen,Công ty con,Bán hàng,390.228.663.563,709.027.555.064,,,390228663563.0,709027555064.0
Công ty TNHH MTV Hoa Sen Nam Cẩm Nghệ An,Phải thu khách hàng > Công ty TNHH MTV Hoa Sen Nam Cẩm Nghệ An,Công ty TNHH MTV Hoa Sen Nam Cẩm Nghệ An,Công ty con,Bán hàng,63.828.794.580,-,,,63828794580.0,
Công ty TNHH MTV Vận tải và Cơ khí Hoa Sen,Phải thu khách hàng > Công ty TNHH MTV Vận tải và Cơ khí Hoa Sen,Công ty TNHH MTV Vận tải và Cơ khí Hoa Sen,Công ty con,Bán hàng,10.917.500.000,-,,,10917500000.0,
Công ty TNHH MTV Hoa Sen Bình Định,Phải thu khách hàng > Công ty TNHH MTV Hoa Sen Bình Định,Công ty TNHH MTV Hoa Sen Bình Định,Công ty con,Bán hàng,7.523.066.192,2.390.945.956,,,7523066192.0,2390945956.0
Công ty TNHH MTV Hoa Sen Nghệ An,Phải thu khách hàng > Công ty TNHH MTV Hoa Sen Nghệ An,Công ty TNHH MTV Hoa Sen Nghệ An,Công ty con,Bán hàng,172.451.970,-,,,172451970.0,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Phải thu khách hàng > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Bán hàng,-,38.500.000,,,,38500000.0
,,,,,1.214.432.479.886,1.124.726.248.293,,,1214432479886.0,1124726248293.0
