row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp (Thuyết minh số 31.2) > Thuế giá trị gia tăng,Số cuối năm > 39.779.435.531 > 13.754.684.828,VND Số đầu năm > 30.586.194.784 > 2.200.406.997,numeric__Số cuối năm > 39.779.435.531 > 13.754.684.828,numeric__VND Số đầu năm > 30.586.194.784 > 2.200.406.997
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,987.443.384,796.784.040,987443384.0,796784040.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,1.957.000,896.800,1957000.0,896800.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,54.523.520.743,33.584.282.621,54523520743.0,33584282621.0
