row_label_raw,row_label_full,col_0,"Nhà xưởng,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản khác,Tổng cộng,"numeric__Nhà xưởng,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,604.561.707.949,2.944.158.448.120,87.775.075.027,11.469.809.617,18.652.695.491,3.666.617.736.204,604561707949.0,2944158448120.0,87775075027.0,11469809617.0,18652695491.0,3666617736204.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,681.936.012,75.731.510.325,8.382.275.169,904.788.000,168.002.350,85.868.511.856,681936012.0,75731510325.0,8382275169.0,904788000.0,168002350.0,85868511856.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,16.417.175.177,116.857.426.429,146.056.141.089,-,-,279.330.742.695,16417175177.0,116857426429.0,146056141089.0,,,279330742695.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(72.416.172.407),-,-,-,(72.416.172.407),,-72416172407.0,,,,-72416172407.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,621.660.819.138,3.064.331.212.467,242.213.491.285,12.374.597.617,18.820.697.841,3.959.400.818.348,621660819138.0,3064331212467.0,242213491285.0,12374597617.0,18820697841.0,3959400818348.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,657.546.419,106.640.644.448,17.749.446.819,1.170.977.398,179.918.238,126.398.533.322,657546419.0,106640644448.0,17749446819.0,1170977398.0,179918238.0,126398533322.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(145.279.994.340),(815.486.703.367),(35.731.449.549),(1.665.562.545),(7.995.539.105),(1.006.159.248.906),-145279994340.0,-815486703367.0,-35731449549.0,-1665562545.0,-7995539105.0,-1006159248906.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(35.544.575.884),(300.139.075.516),(16.657.828.371),(2.064.111.809),(2.775.412.732),(357.181.004.312),-35544575884.0,-300139075516.0,-16657828371.0,-2064111809.0,-2775412732.0,-357181004312.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,1.080.718.096,-,-,-,1.080.718.096,,1080718096.0,,,,1080718096.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(180.824.570.224),(1.114.545.060.787),(52.389.277.920),(3.729.674.354),(10.770.951.837),(1.362.259.535.122),-180824570224.0,-1114545060787.0,-52389277920.0,-3729674354.0,-10770951837.0,-1362259535122.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,459.281.713.609,2.128.671.744.753,52.043.625.478,9.804.247.072,10.657.156.386,2.660.458.487.298,459281713609.0,2128671744753.0,52043625478.0,9804247072.0,10657156386.0,2660458487298.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,440.836.248.914,1.949.786.151.680,189.824.213.365,8.644.923.263,8.049.746.004,2.597.141.283.226,440836248914.0,1949786151680.0,189824213365.0,8644923263.0,8049746004.0,2597141283226.0
