row_label_raw,row_label_full,col_0,Vốn điều lệ,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển (*),Quỹ dự phòng tài chính,Quỹ dữ trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển (*),numeric__Quỹ dự phòng tài chính,numeric__Quỹ dữ trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số dư tại 01/01/2018,Số dư tại 01/01/2018,Số dư tại 01/01/2018,5.644.425,1.158.533,(763.159),700.099,431.994,884.470,684.801,8.741.163,5644425.0,1158533.0,-763159.0,700099.0,431994.0,884470.0,684801.0,8741163.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,2.215.503,2.215.503,,,,,,,2215503.0,2215503.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,2.190.248,(394.143),-,(700.099),-,(884.470),(211.536),-,2190248.0,-394143.0,,-700099.0,,-884470.0,-211536.0,
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,1.100.000,106.800,56.211,(1.263.011),-,,,,1100000.0,106800.0,56211.0,-1263011.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(44.968),(44.968),,,,,,,-44968.0,-44968.0
Thường cho nhân viên bằng cổ phiếu quỹ,Thường cho nhân viên bằng cổ phiếu quỹ,Thường cho nhân viên bằng cổ phiếu quỹ,-,(43.822),43.822,-,-,-,-,-,,-43822.0,43822.0,,,,,
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,(265.195),(265.195),,,,,,,-265195.0,-265195.0
Mua lại cổ phiếu lẻ từ tăng vốn trong năm,Mua lại cổ phiếu lẻ từ tăng vốn trong năm,Mua lại cổ phiếu lẻ từ tăng vốn trong năm,-,-,(19),-,-,-,-,(19),,,-19.0,,,,,-19.0
Sử dụng quỹ dự phòng tài chính để xử lý rủi ro,Sử dụng quỹ dự phòng tài chính để xử lý rủi ro,Sử dụng quỹ dự phòng tài chính để xử lý rủi ro,-,-,-,-,(2.414),-,-,(2.414),,,,,-2414.0,,,-2414.0
Số dư tại 31/12/2018,Số dư tại 31/12/2018,Số dư tại 31/12/2018,7.834.673,720.568,(719.356),1.100.000,536.380,56.211,1.115.594,10.644.070,7834673.0,720568.0,-719356.0,1100000.0,536380.0,56211.0,1115594.0,10644070.0
