row_label_raw,row_label_full,col_0,31/12/2019 triệu đồng,31/12/2018 triệu đồng,numeric__31/12/2019 triệu đồng,numeric__31/12/2018 triệu đồng
"Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)",2.517.364,1.467.102,2517364.0,1467102.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,581.826,502.183,581826.0,502183.0
Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,350.264,294.766,350264.0,294766.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",133.670,78.631,133670.0,78631.0
Phải trả cổ tức cho cổ đông,Phải trả cổ tức cho cổ đông,Phải trả cổ tức cho cổ đông,3.218,12.955,3218.0,12955.0
Phải trả nội bộ khác,Phải trả nội bộ khác,Phải trả nội bộ khác,94.674,115.831,94674.0,115831.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,757.770,758.843,757770.0,758843.0
Thuế và các khoản phải nộp Nhà nước(Thuyết minh số 20),Thuế và các khoản phải nộp Nhà nước(Thuyết minh số 20),Thuế và các khoản phải nộp Nhà nước(Thuyết minh số 20),255.591,213.591,255591.0,213591.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,2.873,1.453,2873.0,1453.0
Phải trả thanh toán giữa các tổ chức tín dụng,Phải trả thanh toán giữa các tổ chức tín dụng,Phải trả thanh toán giữa các tổ chức tín dụng,306.561,145.167,306561.0,145167.0
Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,122.296,39.802,122296.0,39802.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,70.396,358.777,70396.0,358777.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,53,53,53.0,53.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,478.517,467.648,478517.0,467648.0
,,,4.335.477,3.195.776,4335477.0,3195776.0
