row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,98.303,304.405,49.614,35.286,88.729,576.337,98303.0,304405.0,49614.0,35286.0,88729.0,576337.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,4.328,58.260,-,9.948,8.468,81.004,4328.0,58260.0,,9948.0,8468.0,81004.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.193),(999),-,(110),(570),(3.872),-2193.0,-999.0,,-110.0,-570.0,-3872.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,100.438,361.666,49.614,45.124,96.627,653.469,100438.0,361666.0,49614.0,45124.0,96627.0,653469.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,40.737,212.491,43.634,17.695,70.073,384.630,40737.0,212491.0,43634.0,17695.0,70073.0,384630.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,5.870,26.881,1.143,6.028,7.667,47.589,5870.0,26881.0,1143.0,6028.0,7667.0,47589.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.167),(899),-,(110),(570),(3.746),-2167.0,-899.0,,-110.0,-570.0,-3746.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,44.440,238.473,44.777,23.613,77.170,428.473,44440.0,238473.0,44777.0,23613.0,77170.0,428473.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ: > Số dư đầu năm,Số dư đầu năm,57.566,91.914,5.980,17.591,18.656,191.707,57566.0,91914.0,5980.0,17591.0,18656.0,191707.0
Số dư cuối năm,Giá trị còn lại của TSCĐ: > Số dư cuối năm,Số dư cuối năm,55.998,123.193,4.837,21.511,19.457,224.996,55998.0,123193.0,4837.0,21511.0,19457.0,224996.0
