row_label_raw,row_label_full,col_0,Giá trị sổ sách > 31/12/2019 triệu đồng,Giá trị sổ sách > 31/12/2018 triệu đồng,numeric__Giá trị sổ sách > 31/12/2019 triệu đồng,numeric__Giá trị sổ sách > 31/12/2018 triệu đồng
Bảo lãnh,Bảo lãnh,Bảo lãnh,18.378.658,17.302.300,18378658.0,17302300.0
Bắt động sản,Bắt động sản,Bắt động sản,192.062.984,145.697.762,192062984.0,145697762.0
Hàng hóa lưu kho,Hàng hóa lưu kho,Hàng hóa lưu kho,11.487.611,12.434.995,11487611.0,12434995.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,24.650.044,25.606.383,24650044.0,25606383.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,79.288.529,54.858.753,79288529.0,54858753.0
Quyền khai thác tài sản,Quyền khai thác tài sản,Quyền khai thác tài sản,21.056.481,17.033.795,21056481.0,17033795.0
"Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá",11.683.173,15.918.997,11683173.0,15918997.0
Tài sản đảm bảo khác,Tài sản đảm bảo khác,Tài sản đảm bảo khác,2.044.736,2.319.356,2044736.0,2319356.0
,,,360.652.216,291.172.341,360652216.0,291172341.0
