row_label_raw,row_label_full,col_0,Quá hạn,Không đinh lại lãi suất,Lãi suất được định lại trong vòng,Lãi suất được định lại trong vòng_1,Lãi suất được định lại trong vòng_2,Lãi suất được định lại trong vòng_3,Lãi suất được định lại trong vòng_4,Lãi suất được định lại trong vòng_5,Tổng,numeric__Quá hạn,numeric__Không đinh lại lãi suất,numeric__Lãi suất được định lại trong vòng,numeric__Lãi suất được định lại trong vòng_1,numeric__Lãi suất được định lại trong vòng_2,numeric__Lãi suất được định lại trong vòng_3,numeric__Lãi suất được định lại trong vòng_4,numeric__Lãi suất được định lại trong vòng_5,numeric__Tổng
,,,Quá hạn,Không đinh lại lãi suất,Đến 1 tháng,Từ 1 – 3 tháng,Từ 3 – 6 tháng,Từ 6 – 12 tháng,Từ 1 – 5 năm,Trên 5 năm,Tổng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,1.159.583,-,-,-,-,-,-,1.159.583,,1159583.0,,,,,,,1159583.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,19.040.311,-,-,-,-,-,19.040.311,,,19040311.0,,,,,,19040311.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,2.672.025,414.427,675.407,250.000,-,-,4.011.859,,,2672025.0,414427.0,675407.0,250000.0,,,4011859.0
Cho vay khách hàng và hoạt động mua nợ (*),Tài sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),1.370.658,-,28.482.207,60.592.154,16.009.859,21.735.810,1.265.121,70.571,129.526.380,1370658.0,,28482207.0,60592154.0,16009859.0,21735810.0,1265121.0,70571.0,129526380.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,1.010.060,1.993.874,6.025.989,7.302.718,8.796.388,2.795.520,27.924.549,,,1010060.0,1993874.0,6025989.0,7302718.0,8796388.0,2795520.0,27924549.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,285.272,-,-,-,-,-,-,285.272,,285272.0,,,,,,,285272.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,360.186,-,-,-,-,-,-,360.186,,360186.0,,,,,,,360186.0
Tài sản có khác (*),Tài sản > Tài sản có khác (*),Tài sản có khác (*),-,3.800.845,-,-,-,-,-,-,3.800.845,,3800845.0,,,,,,,3800845.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.370.658,5.605.886,51.204.603,63.000.455,22.711.255,29.288.528,10.061.509,2.866.091,186.108.985,1370658.0,5605886.0,51204603.0,63000455.0,22711255.0,29288528.0,10061509.0,2866091.0,186108985.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,11.930.312,6.706.819,4.301.496,33,4.286.450,-,27.225.110,,,11930312.0,6706819.0,4301496.0,33.0,4286450.0,,27225110.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,41.657.418,30.854.575,30.728.047,12.596.523,6.639.045,51.133,122.526.741,,,41657418.0,30854575.0,30728047.0,12596523.0,6639045.0,51133.0,122526741.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,-,2.426,-,-,-,-,-,-,2.426,,2426.0,,,,,,,2426.0
