row_label_raw,row_label_full,col_0,Doanh thu/(Chi phí),Doanh thu/(Chi phí)_1,numeric__Doanh thu/(Chi phí),numeric__Doanh thu/(Chi phí)_1
,,,2018Triệu VND,2017Triệu VND,,
MSB AMC - Công ty con,MSB AMC - Công ty con,MSB AMC - Công ty con,MSB AMC - Công ty con,MSB AMC - Công ty con,,
▪ Chi phí lãi tiền gửi,MSB AMC - Công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(26),(3.075),-26.0,-3075.0
▪ Chi phí thuê nhà và hoạt động,MSB AMC - Công ty con > ▪ Chi phí thuê nhà và hoạt động,▪ Chi phí thuê nhà và hoạt động,(28.329),(25.964),-28329.0,-25964.0
▪ Chi phí nghiệp vụ ủy thác và đại lý,MSB AMC - Công ty con > ▪ Chi phí nghiệp vụ ủy thác và đại lý,▪ Chi phí nghiệp vụ ủy thác và đại lý,(2.816),(3.146),-2816.0,-3146.0
▪ Thu nhập cho thuê văn phòng,MSB AMC - Công ty con > ▪ Thu nhập cho thuê văn phòng,▪ Thu nhập cho thuê văn phòng,-,17.676,,17676.0
▪ Thu nhập khác,MSB AMC - Công ty con > ▪ Thu nhập khác,▪ Thu nhập khác,128.340,71.513,128340.0,71513.0
FCCOM - Công ty con,FCCOM - Công ty con,FCCOM - Công ty con,FCCOM - Công ty con,FCCOM - Công ty con,,
▪ Chi phí lãi tiền gửi,FCCOM - Công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(16.471),(9.890),-16471.0,-9890.0
Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,,
▪ Chi phí lãi tiền gửi,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(100),(80),-100.0,-80.0
"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này",,
▪ Thù lao,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thù lao",▪ Thù lao,(74.880),(63.981),-74880.0,-63981.0
▪ Chi phí lãi tiền gửi,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(2.405),(981),-2405.0,-981.0
▪ Thu nhập lãi tiền vay,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thu nhập lãi tiền vay",▪ Thu nhập lãi tiền vay,994,880,994.0,880.0
