row_label_raw,row_label_full,31/12/2018,31/12/2017,numeric__31/12/2017
8%,8%,8%,8%,0.08
6%,6%,6%,6%,0.06
3%,3%,3%,3%,0.03
1%,1%,1%,1%,0.01
