row_label_raw,row_label_full,col_0,col_1,2018Triệu VND,2017Triệu VND,numeric__col_1,numeric__2018Triệu VND,numeric__2017Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(137.625),(97.972),,-137625.0,-97972.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",29.940,257.366,,29940.0,257366.0
03,03,03,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(785),-,,-785.0,
04,04,04,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",125,10,,125.0,10.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNGĐẦU TƯ,(108.345),159.404,,-108345.0,159404.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01,01,01,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(30),(20),,-30.0,-20.0
02,02,02,Tiền chi mua cổ phiếu quỹ,(769.925),-,,-769925.0,
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNGTÀI CHÍNH,(769.955),(20),,-769955.0,-20.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,9.107.650,5.606.074,,9107650.0,5606074.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIẾNTẠI THỜI ĐIỂM ĐẦU NĂM,12.853.501,7.247.427,,12853501.0,7247427.0
VI,VI,VI,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIẾNTẠI THỜI ĐIỂM CUỐI NĂM (Thuyết minh 35),21.961.151,12.853.501,,21961151.0,12853501.0
