row_label_raw,row_label_full,Bà Phạm Thị Thành,Trường ban,numeric__Trường ban
Bà Chu Thị Đảm,Bà Chu Thị Đảm,Bà Chu Thị Đảm,Thành viên,
Bà Lê Thanh Hà,Bà Lê Thanh Hà,Bà Lê Thanh Hà,Thành viên,
