row_label_raw,row_label_full,-,-_1,1.990.119,-_2,-_3,-_4,-_5,29.538,2.019.657,numeric__-_1,numeric__1.990.119,numeric__-_2,numeric__-_3,numeric__-_4,numeric__-_5,numeric__29.538,numeric__2.019.657
-,-,-,-,17.841.434,11.014.181,1.183.731,28.612,-,-,30.067.958,,17841434.0,11014181.0,1183731.0,28612.0,,,30067958.0
-,-,-,-,27.333.668,11.642.911,9.248.286,6.567.299,2.039.203,141,56.831.508,,27333668.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56831508.0
-,-,-,-,78.530,612,(27.941),1.523,-,-,52.724,,78530.0,612.0,-27941.0,1523.0,,,52724.0
-,-,-,-,1.047,-,964.150,4.303.587,115,2.000.000,7.268.899,,1047.0,,964150.0,4303587.0,115.0,2000000.0,7268899.0
-,-,-,2.646.760,-,-,-,-,-,-,2.646.760,2646760.0,,,,,,,2646760.0
-,-,-,2.646.760,47.244.798,22.657.704,11.368.226,10.901.021,2.039.318,2.029.679,98.887.506,2646760.0,47244798.0,22657704.0,11368226.0,10901021.0,2039318.0,2029679.0,98887506.0
2.278.879,2.278.879,2.278.879,27.958.429,(12.199.042),(13.171.517),(6.609.418),(7.308.118),7.825.653,17.419.221,16.194.087,27958429.0,-12199042.0,-13171517.0,-6609418.0,-7308118.0,7825653.0,17419221.0,16194087.0
