row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết
Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,Công ty Cổ phần Cẩm Hà,"51,00%","51,00%",0.51,0.51
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,"79,86%","79,86%",0.7986,0.7986
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,"51,00%","51,00%",0.51,0.51
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,"51,84%","51,84%",0.5184000000000001,0.5184000000000001
Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,"61,89%","61,89%",0.6189,0.6189
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,"85,00%","85,00%",0.85,0.85
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,"51,70%","51,70%",0.517,0.517
Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,"51,01%","51,01%",0.5101,0.5101
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,"73,04%","73,04%",0.7304,0.7304
Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,"51,00%","51,00%",0.51,0.51
Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,"67,69%","67,69%",0.6769,0.6769
Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,"63,21%","63,21%",0.6321,0.6321
Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,"68,59%","68,59%",0.6859000000000001,0.6859000000000001
