row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 10),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 10),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 10),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 10),Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 10)
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Phải thu lợi nhuận được chia,24.937.203.614,13.735.591.478,,,24937203614.0,13735591478.0
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty con,Phải thu lãi sử dụng vốn và lợi nhuận được chia,5.142.269.664,2.980.717.901,,,5142269664.0,2980717901.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty con,Phải thu lợi nhuận được chia,167.693.000,-,,,167693000.0,
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty con,Phải thu lãi vay,29.844.477,1.014.037,,,29844477.0,1014037.0
Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty con,Phải thu lãi vay và cổ phần hóa,444.946.041,444.946.041,,,444946041.0,444946041.0
Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty con,Phải thu lãi vay,591.651.710,581.122.944,,,591651710.0,581122944.0
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,Phải thu về cổ phần hóa và cổ tức,935.811.705,935.811.705,,,935811705.0,935811705.0
Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,Công ty con từ ngày 3 tháng 6 năm 2020,Phải thu lãi vay và phải thu khác,244.231.217,153.966.927,,,244231217.0,153966927.0
Công ty TNHH MTV Lâm Nghiệp Đình Lập,Công ty TNHH MTV Lâm Nghiệp Đình Lập,Công ty TNHH MTV Lâm Nghiệp Đình Lập,Công ty con,Phải thu lãi vay,46.832.877,-,,,46832877.0,
Công ty TNHH MTV Lâm Nghiệp Lộc Bình,Công ty TNHH MTV Lâm Nghiệp Lộc Bình,Công ty TNHH MTV Lâm Nghiệp Lộc Bình,Công ty con,Phải thu lãi vay,421.164.384,,,,421164384.0,
Công ty Cổ phần Tư vấn và Đầu tư Forprodex,Công ty Cổ phần Tư vấn và Đầu tư Forprodex,Công ty Cổ phần Tư vấn và Đầu tư Forprodex,Công ty liên kết,Phải thu về cổ phần hóa,2.119.700.000,2.619.700.000,,,2119700000.0,2619700000.0
