row_label_raw,row_label_full,Năm trước > Số dư đầu năm > Lợi nhuận trong năm,Vốn góp > Năm trước > 3.500.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 30.293.139.240 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 816.757.196.652 > 733.591.366.823,Đơn vị tính: VND Tổng cộng > Năm trước > 4.347.050.335.892 > 733.591.366.823,numeric__Vốn góp > Năm trước > 3.500.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 30.293.139.240 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 816.757.196.652 > 733.591.366.823,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 4.347.050.335.892 > 733.591.366.823
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,116.757.196.652,(116.757.196.652),-,,116757196652.0,-116757196652.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,(28.106.701.737),(28.106.701.737),,,-28106701737.0,-28106701737.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(700.000.000.000),(700.000.000.000),,,-700000000000.0,-700000000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,147.050.335.892,705.484.665.086,4.352.535.000.978,3500000000000.0,147050335892.0,705484665086.0,4352535000978.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,147.050.335.892,705.484.665.086,4.352.535.000.978,3500000000000.0,147050335892.0,705484665086.0,4352535000978.0
Lợi nhuận trong năm,Năm nay > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,341.441.527.005,341.441.527.005,,,341441527005.0,341441527005.0
Trích lập quỹ đầu tư phát triển (*),Năm nay > Trích lập quỹ đầu tư phát triển (*),Trích lập quỹ đầu tư phát triển (*),-,75.454.001.250,(75.454.001.250),-,,75454001250.0,-75454001250.0,
Trích quỹ khen thưởng phúc lợi (**),Năm nay > Trích quỹ khen thưởng phúc lợi (**),Trích quỹ khen thưởng phúc lợi (**),-,-,(29.985.057.803),(29.985.057.803),,,-29985057803.0,-29985057803.0
Chia cổ tức (*),Năm nay > Chia cổ tức (*),Chia cổ tức (*),-,-,(630.000.000.000),(630.000.000.000),,,-630000000000.0,-630000000000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,222.504.337.142,311.487.133.038,4.033.991.470.180,3500000000000.0,222504337142.0,311487133038.0,4033991470180.0
