row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Hoạt động khác > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,31.411.562.971,269.290.856.623,280.265.398.992,71.032.882.650,10.025.385.923,(48.293.679),661.977.793.480,31411562971.0,269290856623.0,280265398992.0,71032882650.0,10025385923.0,-48293679.0,661977793480.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,31.411.562.971,269.290.856.623,280.265.398.992,71.032.882.650,10.025.385.923,(48.293.679),661.977.793.480,31411562971.0,269290856623.0,280265398992.0,71032882650.0,10025385923.0,-48293679.0,661977793480.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,9.742.229.963,10.026.980.799,65.759.529.378,32.748.265.468,1.655.277.208,,119.932.282.816,9742229963.0,10026980799.0,65759529378.0,32748265468.0,1655277208.0,,119932282816.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,642.064.133.613,,,,,,,642064133613.0
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,761.996.416.429(28.405.049.606),,,,,,,
Chi phí thuế TNDN,Lợi nhuận thuần trước thuế > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,733.591.366.823,,,,,,,733591366823.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,139.022.084.834,57.262.899.631,114.383.207.653,148.656.406.396,5.529.150,-,459.330.127.664,139022084834.0,57262899631.0,114383207653.0,148656406396.0,5529150.0,,459330127664.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,4.092.302.755.596,,,,,,,4092302755596.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,4.551.632.883.260,,,,,,,4551632883260.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.605.112.842,5.473.582.133,14.395.097.543,8.343.364.399,-,-,30.817.156.917,2605112842.0,5473582133.0,14395097543.0,8343364399.0,,,30817156917.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,167.568.321.972,,,,,,,167568321972.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,198.385.478.889,,,,,,,198385478889.0
