row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,30.520.753,60.707.443,30520753.0,60707443.0
Chỉ phí mua bảo hiểm,Ngắn hạn > Chỉ phí mua bảo hiểm,Chỉ phí mua bảo hiểm,68.143.375,-,68143375.0,
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,140.526.350,79.360.393,140526350.0,79360393.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,239.190.478,140.067.836,239190478.0,140067836.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,422.345.121,649.726.007,422345121.0,649726007.0
Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Dài hạn > Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Giá trị tiềm năng phát triển và giá trị thương hiệu (*),3.103.294.755,7.583.832.567,3103294755.0,7583832567.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,420.855.223,852.710.688,420855223.0,852710688.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.946.495.099,9.086.269.262,3946495099.0,9086269262.0
