row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,
Công ty TNHH Yamaha Motor Việt Nam,Đầu tư vào công ty liên kết > Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,241.091.839.143,-,241.091.839.143,241.091.839.143,-,241.091.839.143,241091839143.0,,241091839143.0,241091839143.0,,241091839143.0
Công ty TNHH Việt Thành Thái,Đầu tư vào công ty liên kết > Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,44.899.768.758,-,44.899.768.758,44.899.768.758,-,44.899.768.758,44899768758.0,,44899768758.0,44899768758.0,,44899768758.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,26.139.084.964,-,26.139.084.964,26.139.084.964,-,26.139.084.964,26139084964.0,,26139084964.0,26139084964.0,,26139084964.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,22.525.816.641,-,22.525.816.641,22.525.816.641,-,22.525.816.641,22525816641.0,,22525816641.0,22525816641.0,,22525816641.0
Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Đầu tư vào công ty liên kết > Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,18.434.398.669,-,18.434.398.669,18.434.398.669,-,18.434.398.669,18434398669.0,,18434398669.0,18434398669.0,,18434398669.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,12.401.394.337,(5.468.170.771),6.933.223.566,12.401.394.337,-,12.401.394.337,12401394337.0,-5468170771.0,6933223566.0,12401394337.0,,12401394337.0
Công ty Cổ phần Cơ Đỏ,Đầu tư vào công ty liên kết > Công ty Cổ phần Cơ Đỏ,Công ty Cổ phần Cơ Đỏ,11.525.782.967,-,11.525.782.967,11.525.782.967,-,11.525.782.967,11525782967.0,,11525782967.0,11525782967.0,,11525782967.0
Công ty Cổ phần Lâm nghiệp 19,Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,8.054.284.341,-,8.054.284.341,8.054.284.341,-,8.054.284.341,8054284341.0,,8054284341.0,8054284341.0,,8054284341.0
Công ty Cổ phần Thương mại lâm sản Hà Nội,Đầu tư vào công ty liên kết > Công ty Cổ phần Thương mại lâm sản Hà Nội,Công ty Cổ phần Thương mại lâm sản Hà Nội,6.000.000.000,(6.000.000.000),-,6.000.000.000,(6.000.000.000),-,6000000000.0,-6000000000.0,,6000000000.0,-6000000000.0,
Công ty TNHH Nguyên liệu giấy Quy Nhơn,Đầu tư vào công ty liên kết > Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,5.787.821.081,-,5.787.821.081,5.787.821.081,-,5.787.821.081,5787821081.0,,5787821081.0,5787821081.0,,5787821081.0
Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Đầu tư vào công ty liên kết > Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,3.169.651.235,(3.169.651.235),-,-,-,-,3169651235.0,-3169651235.0,,,,
Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát (Thuyết minh số 16.1),Đầu tư vào công ty liên kết > Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát (Thuyết minh số 16.1),Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát (Thuyết minh số 16.1),-,-,-,4.625.605.602,(4.625.605.602),-,,,,4625605602.0,-4625605602.0,
Công ty Cổ phần Formach (*),Đầu tư vào công ty liên kết > Công ty Cổ phần Formach (*),Công ty Cổ phần Formach (*),-,-,-,4.155.164.541,(3.644.476.961),510.687.580,,,,4155164541.0,-3644476961.0,510687580.0
Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Đầu tư vào công ty liên kết > Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,3.063.845.562,-,3.063.845.562,3.063.845.562,-,3.063.845.562,3063845562.0,,3063845562.0,3063845562.0,,3063845562.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Đầu tư vào công ty liên kết > Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,2.570.995.921,-,2.570.995.921,2.570.995.921,-,2.570.995.921,2570995921.0,,2570995921.0,2570995921.0,,2570995921.0
Công ty Cổ phần 19/5 Đoàn Hùng,Đầu tư vào công ty liên kết > Công ty Cổ phần 19/5 Đoàn Hùng,Công ty Cổ phần 19/5 Đoàn Hùng,2.139.792.559,-,2.139.792.559,2.139.792.559,-,2.139.792.559,2139792559.0,,2139792559.0,2139792559.0,,2139792559.0
Công ty Cổ phần Kon Hà rừng,Đầu tư vào công ty liên kết > Công ty Cổ phần Kon Hà rừng,Công ty Cổ phần Kon Hà rừng,1.945.917.957,-,1.945.917.957,1.945.917.957,-,1.945.917.957,1945917957.0,,1945917957.0,1945917957.0,,1945917957.0
