row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Số đã thu trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Số đã thu trong năm,numeric__Đơn vị tính: VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,114.232.800,-,114.232.800,,114232800.0,,114232800.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,701.924,-,701.924,,701924.0,,701924.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,114.934.724,-,114.934.724,,114934724.0,,114934724.0
