row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị còn lại,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị còn lại,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị còn lại,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị còn lại
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,427.537.505.908,(22.588.349.881),404.949.156.027,413.010.198.449,(12.428.068.422),400.582.130.027,427537505908.0,-22588349881.0,404949156027.0,413010198449.0,-12428068422.0,400582130027.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",413.101.205.323,(14.993.613.990),398.107.591.333,418.712.324.231,(14.625.874.547),404.086.449.684,413101205323.0,-14993613990.0,398107591333.0,418712324231.0,-14625874547.0,404086449684.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,20.910.802.718,-,20.910.802.718,27.886.449.348,-,27.886.449.348,20910802718.0,,20910802718.0,27886449348.0,,27886449348.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,861.549.513.949,(37.581.963.871),823.967.550.078,859.608.972.028,(27.053.942.969),832.555.029.059,861549513949.0,-37581963871.0,823967550078.0,859608972028.0,-27053942969.0,832555029059.0
"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:",,,,,,
,,,,,,,,Đơn vị tính: VND,,,,,,
,,,,,,,Năm nay,Năm trước,,,,,,
Số đầu năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số đầu năm",Số đầu năm,,,,27.053.942.969,,22.393.896.638,,,,27053942969.0,,22393896638.0
Cộng: Dự phòng trích lập trong năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Cộng: Dự phòng trích lập trong năm",Cộng: Dự phòng trích lập trong năm,,,,14.234.466.758,,4.660.046.331,,,,14234466758.0,,4660046331.0
Trừ: Hoàn nhập dự phòng trong kỳ,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Trừ: Hoàn nhập dự phòng trong kỳ",Trừ: Hoàn nhập dự phòng trong kỳ,,,,(3.706.445.856),,-,,,,-3706445856.0,,
Số cuối năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số cuối năm",Số cuối năm,,,,37.581.963.871,,27.053.942.969,,,,37581963871.0,,27053942969.0
