row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.475.798.076,1.277.700.000,22.899.451.182,45.652.949.258,21475798076.0,1277700000.0,22899451182.0,45652949258.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.475.798.076,1.277.700.000,22.899.451.182,45.652.949.258,21475798076.0,1277700000.0,22899451182.0,45652949258.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,70.000.000,20.119.251.983,20.189.251.983,,70000000.0,20119251983.0,20189251983.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,3.239.387.178,733.359.461,21.667.639.483,25.640.386.122,3239387178.0,733359461.0,21667639483.0,25640386122.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,388.103.964,220.581.828,101.285.424,709.971.216,388103964.0,220581828.0,101285424.0,709971216.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,3.627.491.142,953.941.289,21.768.924.907,26.350.357.338,3627491142.0,953941289.0,21768924907.0,26350357338.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,18.236.410.898,544.340.539,1.231.811.699,20.012.563.136,18236410898.0,544340539.0,1231811699.0,20012563136.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,17.848.306.934,323.758.711,1.130.526.275,19.302.591.920,17848306934.0,323758711.0,1130526275.0,19302591920.0
