row_label_raw,row_label_full,Arrangement/guarantor organizations,Owners,Ending balance VND,Interest rate (% p.a.),Maturity date,Purpose,Collateral,numeric__Owners,numeric__Ending balance VND,numeric__Interest rate (% p.a.),numeric__Maturity date,numeric__Purpose,numeric__Collateral
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,"1,000,000,000,000",10.11,28 November 2027,Implement the Company's investment plans and projects,"78,613,263 Nam Long VCD's shares owned by the Company",,,1011.0,,,
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,"450,000,000,000",9.78,22 August 2027,Implement the Company's investment plans and projects,"31,034,482 Southgate's shares owned by the Company (Note 14.1)",,,978.0,,,
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,"350,000,000,000",9.78,22 August 2027,Implement the Company's investment plans and projects,"34,482,759 Southgate's shares owned by the Company (Note 14.1)",,,978.0,,,
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Fund Managemen Joint Stock Company,"150,000,000,000",9.78,22 August 2027,Implement the Company's investment plans and projects,"34,482,759 Southgate's shares owned by the Company (Note 14.1)",,,978.0,,,
GuarantCo Ltd,GuarantCo Ltd,GuarantCo Ltd,Manulife (Vietnam) Limited,"510,000,000,000",6.50,19 June 2025,Implement the Company's investment plans and projects,"56,165,462 Nam Long VCD's shares owned by the Company (Note 14.1)",,,650.0,,,
GuarantCo Ltd,GuarantCo Ltd,GuarantCo Ltd,"AIA (Vietnam) Life Insurance Co., Ltd","120,000,000,000",6.50,19 June 2025,Implement the Company's investment plans and projects,"56,165,462 Nam Long VCD's shares owned by the Company (Note 14.1)",,,650.0,,,
GuarantCo Ltd,GuarantCo Ltd,GuarantCo Ltd,Generali Vietnam Life Insurance L.L.C,"30,000,000,000",6.50,19 June 2025,Implement the Company's investment plans and projects,"56,165,462 Nam Long VCD's shares owned by the Company (Note 14.1)",,,650.0,,,
Vietnam International Securities Joint Stock Company (VIS),Vietnam International Securities Joint Stock Company (VIS),Vietnam International Securities Joint Stock Company (VIS),Orient Commercial Joint Stock Bank,"500,000,000,000",7,28 September 2028,Implement the Company's investment plans and projects,"Land use rights at Lot 7692, Map Sheet No. 5, An Thanh Commune, Ben Luc District, Long An Province owned by Nam Long VCD (Note 14.1)",,,7.0,,,
