row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Short-term,Short-term,Short-term,Short-term,Short-term,,
Dividend receivables,Dividend receivables,Dividend receivables,"276,913,339,316","271,160,611,233",,
Advances to employee for land compensation purposes,Advances to employee for land compensation purposes,Advances to employee for land compensation purposes,"183,410,709,500","207,024,259,500",,
Advances to employee for other business purposes,Advances to employee for other business purposes,Advances to employee for other business purposes,"32,092,258,498","10,306,221,836",,
Advance for capital contribution into a jointly controlled entity,Advance for capital contribution into a jointly controlled entity,Advance for capital contribution into a jointly controlled entity,-,"170,000,000,000",,
Others,Others,Others,"27,908,304,153","28,041,299,761",,
,,,"520,324,611,467","686,532,392,330",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Deposits,Deposits,Deposits,"7,397,919,958","8,903,903,144",,
TOTAL,TOTAL,TOTAL,"527,722,531,425","695,436,295,474",,
In which:,In which:,In which:,In which:,In which:,,
Other receivables,Other receivables,Other receivables,"245,933,138,014","243,076,631,168",,
Other receivables from related parties (Note 29),Other receivables from related parties (Note 29),Other receivables from related parties (Note 29),,,,
- Short-term,- Short-term,- Short-term,"277,540,652,141","446,565,908,036",,
- Long-term,- Long-term,- Long-term,"4,248,741,270","5,793,756,270",,
