row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Short-term,Short-term,Short-term,Short-term,Short-term,,
Commission fees,Commission fees,Commission fees,"3,185,002,221","23,795,555,811",,
Tool and equipment,Tool and equipment,Tool and equipment,"1,994,001,667","4,309,791,031",,
Others,Others,Others,-,"3,092,054,795",,
,,,"5,179,003,888","31,197,401,637",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Show-houses and commission fees,Show-houses and commission fees,Show-houses and commission fees,"66,159,656,000","84,821,343,842",,
Tool and equipment,Tool and equipment,Tool and equipment,"4,728,575,681","4,983,707,788",,
,,,"70,888,231,681","89,805,051,630",,
TOTAL,TOTAL,TOTAL,"76,067,235,569","121,002,453,267",,
