row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Investment contributions received for BCCs (*),Investment contributions received for BCCs (*),Investment contributions received for BCCs (*),"583,000,000,000","639,993,724,484",,
Profit shared to BCC partners,Profit shared to BCC partners,Profit shared to BCC partners,"168,321,175,361","227,521,501,895",,
Maintenance funds,Maintenance funds,Maintenance funds,"108,739,139,128","105,852,826,441",,
Dividend payables,Dividend payables,Dividend payables,"1,450,871,461","1,364,911,495",,
Deposits received,Deposits received,Deposits received,"815,000,000","770,000,000",,
Others,Others,Others,"16,489,253,728","22,802,846,739",,
TOTAL,TOTAL,TOTAL,"878,815,439,678","998,305,811,054",,
In which:,In which:,In which:,In which:,In which:,,
Other payables to related parties (Note 29),Other payables to related parties (Note 29),Other payables to related parties (Note 29),"751,981,842,026","867,592,726,379",,
Other payables to other parties,Other payables to other parties,Other payables to other parties,"126,833,597,652","130,713,084,675",,
