row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Accounting (loss) profit before tax,Accounting (loss) profit before tax,Accounting (loss) profit before tax,"1,206,264,383,342","(52,263,691,058)",,
At applicable CIT rate of tax 20%,At applicable CIT rate of tax 20%,At applicable CIT rate of tax 20%,"241,252,876,668","(10,452,738,212)",,
Adjustments to increase (decrease) CIT expenses:,Adjustments to increase (decrease) CIT expenses:,Adjustments to increase (decrease) CIT expenses:,Adjustments to increase (decrease) CIT expenses:,Adjustments to increase (decrease) CIT expenses:,,
Share profit after tax to BCC parties,Share profit after tax to BCC parties,Share profit after tax to BCC parties,"130,761,189,798","18,535,606,871",,
Adjustment for under accrual of tax from prior year,Adjustment for under accrual of tax from prior year,Adjustment for under accrual of tax from prior year,"15,594,774,695",-,,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"7,859,723,657","2,838,359,472",,
Dividend income exempted,Dividend income exempted,Dividend income exempted,"(81,687,914,653)","(118,475,602,771)",,
Unrecognized deferred tax on non-deductible interest expenses (i),Unrecognized deferred tax on non-deductible interest expenses (i),Unrecognized deferred tax on non-deductible interest expenses (i),"(3,507,758,896)","50,938,854,653",,
Utilize tax loss carry forward,Utilize tax loss carry forward,Utilize tax loss carry forward,"(1,770,882,230)",-,,
Unrecognized deferred tax on tax loss carried forward,Unrecognized deferred tax on tax loss carried forward,Unrecognized deferred tax on tax loss carried forward,"60,469,490,973","1,363,295,207",,
CIT expense,CIT expense,CIT expense,"368,971,500,012","(55,252,224,780)",,
