row_label_raw,row_label_full,Tên đơn vị,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ vốnnấm giữ%,Số cuối năm > Giá gốc đầu tưVND,Số đầu năm > Tỷ lệ vốnnấm giữ%,Số đầu năm > Giá gốc đầu tưVND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ vốnnấm giữ%,numeric__Số cuối năm > Giá gốc đầu tưVND,numeric__Số đầu năm > Tỷ lệ vốnnấm giữ%,numeric__Số đầu năm > Giá gốc đầu tưVND
Paragon (i),Paragon (i),Paragon (i),Bất động sản,"50,00",990.463.884.249,"75,00",1.260.695.826.373,,50.0,990463884249.0,75.0,1260695826373.0
NNH Mizuki (ii),NNH Mizuki (ii),NNH Mizuki (ii),Bất động sản,"50,00",540.000.000.000,"50,00",540.000.000.000,,50.0,540000000000.0,50.0,540000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.530.463.884.249,,1.800.695.826.373,,,1530463884249.0,,1800695826373.0
