row_label_raw,row_label_full,Bên liên quan > Nam Long VCD,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Doanh thu từ dịch vụquản lý dự án (*)(Nhận trước dịch vụtổng thầuNhận cổ tứcChi phí thuêPhí dịch vụ quản lý,Năm nay > 379.330.992.502199.551.338.00013.124.192.220536.325.72687.687.268,VNDNăm trước > 673.333.334-54.684.134.2502.380.138.9462.837.293.736,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Doanh thu từ dịch vụquản lý dự án (*)(Nhận trước dịch vụtổng thầuNhận cổ tứcChi phí thuêPhí dịch vụ quản lý,numeric__Năm nay > 379.330.992.502199.551.338.00013.124.192.220536.325.72687.687.268,numeric__VNDNăm trước > 673.333.334-54.684.134.2502.380.138.9462.837.293.736
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,Doanh thu từ dịch vụquản lý dự án (*)(Ứng trước dịch vụ,48.716.614.825-,160.206.066.2603.275.072.193,,,,1.602060662603275e+21
Southgate,Southgate,Southgate,Công ty con,Doanh thu từ dịch vụquản lý dự án (*)(Nhận cổ tứcPhí tư vấn quản lý,239.372.700.74157.000.000.0001.091.614.789,231.875.648.38257.000.000.000-,,,2.3937270074157e+32,
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,Góp vốnPhí tư vấn quản lýPhải thu từ việc chuyểnnhượng cổ phầnThanh lý tài sảnPhải thu cổ tức,480.589.037.000471.050.018.921168.334.000.000326.278.893-,-197.287.669.500--85.000.000.000,,,,
NNH Mizuki,Nam Long Land > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Nhận cổ tứcDoanh thu từ dịch vụquản lý dự án (*)(Phải thu cổ tứcHoàn vốn,250.684.000.000188.934.893.5577.200.000.000-,17.500.000.000323.745.386.15011.485.296.803210.000.000.000,,,,1.7500000000323746e+45
Nam Khang,Nam Khang,Nam Khang,Công ty con,Chi phí xây dựngTrả gốc vayVayLãi vayLãi trả chậmCổ tức được chia,241.248.363.24760.000.000.00060.000.000.0008.399.250.0011.077.187.262-,95.212.382.190118.000.000.000-17.548.472.223-105.700.000.000,,,,
Nam Long ADC,Nam Khang > Nam Long ADC,Nam Long ADC,Công ty con,"Nhận cổ tứcPhí dịch vụ quản lýPhải thu cổ tứcDoanh thu từ dịch vụquản lý, tiếp thị, môi giòivà bán hàng dự án (*)",17.000.000.0005.499.752.774-,-5.418.659.336105.000.000.000,,,,-5.418659336105e+21
