row_label_raw,row_label_full,col_0,Share capital,Share premium,Investment and development fund,Undistributed earnings,VND Total,numeric__Share capital,numeric__Share premium,numeric__Investment and development fund,numeric__Undistributed earnings,numeric__VND Total
Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,,,,,
Beginning balance,Beginning balance,Beginning balance,"3,840,803,000,000","2,431,271,455,967","5,940,860,165","2,048,439,854,159","8,326,455,170,291",,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"2,988,533,722","2,988,533,722",,,,,
Issuance share in accordance to the Executive Stock Grant program,Issuance share in accordance to the Executive Stock Grant program,Issuance share in accordance to the Executive Stock Grant program,"6,971,710,000",-,-,-,"6,971,710,000",,,,,
Cash dividends declared,Cash dividends declared,Cash dividends declared,-,-,-,"(76,816,060,000)","(76,816,060,000)",,,,,
Contribution to bonus and welfare funds,Contribution to bonus and welfare funds,Contribution to bonus and welfare funds,-,-,-,"(10,000,000,000)","(10,000,000,000)",,,,,
Ending balance,Ending balance,Ending balance,"3,847,774,710,000","2,431,271,455,967","5,940,860,165","1,964,612,327,881","8,249,599,354,013",,,,,
