row_label_raw,row_label_full,phát hành > Công ty Cổ phần Chứng khoán VNDIRECT,Trái chủ > Công ty Cổ phần Chứng khoán VNDIRECT > Công ty TNHH Bảo hiểm Nhân Thọ SUN LIFE Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Tổng Công ty Cổ phần Bảo hiểm Bưu điện > Công ty Cổ phần Chứng khoán KIS Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ FWD Việt Nam,Số cuối năm VND > 126.000.000.000 > 100.000.000.000 > 70.000.000.000 > 16.000.000.000 > 12.000.000.000,"Lãi suất (%/năm) > 9,50",Ngày đảo hạn > Ngày 17 tháng 6 năm 2029,Mục đích > Tài trợ và đầu tư cho các dự án,Tài sản thế chấp > 30.560.749 cổ phiếu Southgate do Công ty sở hữu (TM số 14.1),numeric__Trái chủ > Công ty Cổ phần Chứng khoán VNDIRECT > Công ty TNHH Bảo hiểm Nhân Thọ SUN LIFE Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Tổng Công ty Cổ phần Bảo hiểm Bưu điện > Công ty Cổ phần Chứng khoán KIS Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam > Công ty TNHH Bảo hiểm Nhân thọ FWD Việt Nam,numeric__Số cuối năm VND > 126.000.000.000 > 100.000.000.000 > 70.000.000.000 > 16.000.000.000 > 12.000.000.000,"numeric__Lãi suất (%/năm) > 9,50",numeric__Ngày đảo hạn > Ngày 17 tháng 6 năm 2029,numeric__Mục đích > Tài trợ và đầu tư cho các dự án,numeric__Tài sản thế chấp > 30.560.749 cổ phiếu Southgate do Công ty sở hữu (TM số 14.1)
Trừ: Chi phí phát hành,Trừ: Chi phí phát hành,Trừ: Chi phí phát hành,Trừ: Chi phí phát hành,(47.908.949.963),,,,,,-47908949963.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.612.091.050.037,,,,,,3612091050037.0,,,,
Trong đó: Trái phiếu dài hạn,Trong đó: Trái phiếu dài hạn,Trong đó: Trái phiếu dài hạn,Trong đó: Trái phiếu dài hạn,2.956.515.416.664,,,,,,2956515416664.0,,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,655.575.633.373,,,,,,655575633373.0,,,,
