row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Vay dài hạn (TM số 20.2),Vay dài hạn (TM số 20.2),Vay dài hạn (TM số 20.2),Vay dài hạn (TM số 20.2),Vay dài hạn (TM số 20.2),Vay dài hạn (TM số 20.2),Vay dài hạn (TM số 20.2),,,,
Nam Phan,Vay dài hạn (TM số 20.2) > Nam Phan,Nam Phan,Công ty con,Vay,176.042.091.910,-,,,176042091910.0,
Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),,,,
Nam Phan,Chi phí phải trả ngắn hạn (TM số 18) > Nam Phan,Nam Phan,Công ty con,Lãi vay,45.129.516.186,31.677.115.244,,,45129516186.0,31677115244.0
Nguyên Sơn,Chi phí phải trả ngắn hạn (TM số 18) > Nguyên Sơn,Nguyên Sơn,Công ty con,Lãi vay,39.008.624.334,68.367.599.395,,,39008624334.0,68367599395.0
Kikyo Valora,Chi phí phải trả ngắn hạn (TM số 18) > Kikyo Valora,Kikyo Valora,Công ty con,Lãi vay,20.816.666.672,15.716.666.670,,,20816666672.0,15716666670.0
Nam Khang,Chi phí phải trả ngắn hạn (TM số 18) > Nam Khang,Nam Khang,Công ty con,Lãi vay,9.364.677.779,965.427.778,,,9364677779.0,965427778.0
Nam Phát Land,Chi phí phải trả ngắn hạn (TM số 18) > Nam Phát Land,Nam Phát Land,Công ty con,Lãi vay,6.621.666.667,3.574.999.999,,,6621666667.0,3574999999.0
Nam Long Mekong,Chi phí phải trả ngắn hạn (TM số 18) > Nam Long Mekong,Nam Long Mekong,Công ty con,Lãi vay,6.429.934.431,10.500.022.413,,,6429934431.0,10500022413.0
Vận tải Nam Long,Chi phí phải trả ngắn hạn (TM số 18) > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lãi vay,2.556.209.588,2.485.042.923,,,2556209588.0,2485042923.0
Nam Long Land,Chi phí phải trả ngắn hạn (TM số 18) > Nam Long Land,Nam Long Land,Công ty con,Phí tư vấn,957.500.000,-,,,957500000.0,
Nam Long CP,Chi phí phải trả ngắn hạn (TM số 18) > Nam Long CP,Nam Long CP,Công ty con,Lãi vay,653.333.333,-,,,653333333.0,
,,,,,131.538.128.990,133.286.874.422,,,131538128990.0,133286874422.0
