row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
"Revenue from project management services and sales of land, apartments, town houses and villas","Revenue from project management services and sales of land, apartments, town houses and villas","Revenue from project management services and sales of land, apartments, town houses and villas","6,876,214,038,999","839,962,935,034",,
Revenue from rendering of services,Revenue from rendering of services,Revenue from rendering of services,"9,038,610,256","14,386,423,500",,
TOTAL,TOTAL,TOTAL,"6,885,252,649,255","854,349,358,534",,
In which:,In which:,In which:,In which:,In which:,,
Sales to other parties,Sales to other parties,Sales to other parties,"6,027,029,055,010","90,528,381,017",,
Sales to related parties (Note 29),Sales to related parties (Note 29),Sales to related parties (Note 29),"858,223,594,245","763,820,977,517",,
