row_label_raw,row_label_full,Full name,Position,Remuneration > Current year,Remuneration > Previous year,numeric__Position,numeric__Remuneration > Current year,numeric__Remuneration > Previous year
Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,"Chairman(Executive Director, dual Head of Investment Committee and Member of HR Committee)","4,678,103,815","5,141,157,112",,,
Mr Tran Thanh Phong,Mr Tran Thanh Phong,Mr Tran Thanh Phong,"Vice chairman(Executive Director, cum Head of Shareholders Relation Committee, Member of Investment Committee and Member of Audit Committee)","3,898,055,883","4,239,791,429",,,
Mr Cao Tan Thach,Mr Cao Tan Thach,Mr Cao Tan Thach,"Member(Executive Director, cum Member of Audit Committee)","2,474,661,068","2,709,380,864",,,
Mr Ngian Siew Siong,Mr Ngian Siew Siong,Mr Ngian Siew Siong,Independent member(cum Head of HR Committee and Member of Investment Committee),"1,535,011,980","1,310,835,984",,,
Mr Kenneth Michael Atkinson,Mr Kenneth Michael Atkinson,Mr Kenneth Michael Atkinson,Independent member(cum Head of Audit Committee),"1,374,342,251","1,116,903,755",,,
Mr Chad Ryan Ovel,Mr Chad Ryan Ovel,Mr Chad Ryan Ovel,Independent member(cum Member of HR Committee),"1,152,250,480","978,380,735",,,
Mr Ziang Tony Ngo,Mr Ziang Tony Ngo,Mr Ziang Tony Ngo,Independent member(cum Member of Investment Committee),"1,152,250,480","978,380,735",,,
Mr Joseph Low Kar Yew,Mr Joseph Low Kar Yew,Mr Joseph Low Kar Yew,Member(cum Member of Audit Committee),"781,258,897","701,334,693",,,
Mr Nguyen Duc Thuan,Mr Nguyen Duc Thuan,Mr Nguyen Duc Thuan,Member,"587,326,668","507,402,464",,,
TOTAL,TOTAL,TOTAL,,"17,633,261,522","17,683,567,771",,,
