row_label_raw,row_label_full,col_0,Land use rights,Computer software,VND Total,numeric__Land use rights,numeric__Computer software,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,
Beginning balance,Beginning balance,Beginning balance,"281,743,975","112,423,806,534","112,705,550,509",,,
New purchase,New purchase,New purchase,-,"9,137,000,000","9,137,000,000",,,
Ending balance,Ending balance,Ending balance,"281,743,975","121,560,806,534","121,842,550,509",,,
In which: Fully amortised,In which: Fully amortised,In which: Fully amortised,-,"21,765,051,200","21,765,051,200",,,
Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,Accumulated amortisation:,,,
Beginning balance,Beginning balance,Beginning balance,-,"(41,530,432,491)","(41,530,432,491)",,,
Amortization for the year,Amortization for the year,Amortization for the year,-,"(22,567,836,822)","(22,567,836,822)",,,
Ending balance,Ending balance,Ending balance,-,"(64,098,269,313)","(64,098,269,313)",,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,
Beginning balance,Beginning balance,Beginning balance,"281,743,975","70,893,374,043","71,175,118,018",,,
Ending balance,Ending balance,Ending balance,"281,743,975","57,462,537,221","57,744,281,196",,,
