row_label_raw,row_label_full,Bên liên quan > Nam Long CP,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Góp vốn > Hoàn vốn > Vay > Chi phí thuê > Phí tư vấn quản lý > Lãi vay > Nhận cổ tức,Năm nay > 200.000.000.000 > 100.000.000.000 > 40.000.000.000 > 8.212.217.103 > 1.489.033.128 > 653.333.333 > -,VNDNăm trước > - > 16.290.962.583 > 2.699.181.683 > - > 20.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Góp vốn > Hoàn vốn > Vay > Chi phí thuê > Phí tư vấn quản lý > Lãi vay > Nhận cổ tức,numeric__Năm nay > 200.000.000.000 > 100.000.000.000 > 40.000.000.000 > 8.212.217.103 > 1.489.033.128 > 653.333.333 > -,numeric__VNDNăm trước > - > 16.290.962.583 > 2.699.181.683 > - > 20.000.000.000
Anabuki,Anabuki,Anabuki,Công ty liên kết,Phí dịch vụ,1.340.878.899,2.299.158.808,,,1340878899.0,2299158808.0
Anabuki,Anabuki,Anabuki,Công ty liên kết,Phí dịch vụ quản lý,-,28.774.766.938,,,,28774766938.0
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Lãi vay,6.100.000.002,6.083.333.336,,,6100000002.0,6083333336.0
Nam Viên,Nam Viên,Nam Viên,Công ty con,Chi phí dịch vụ thiết kế,327.069.884,2.098.501.238,,,327069884.0,2098501238.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Góp vốn,2.000.000.000,-,,,2000000000.0,
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Chi phí thuê xe,1.663.918.186,4.267.329.997,,,1663918186.0,4267329997.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Hoàn trả vay,1.400.000.000,7.600.000.000,,,1400000000.0,7600000000.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lợi nhuận phải thu,900.000.000,7.600.000.000,,,900000000.0,7600000000.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lãi vay,71.166.665,298.433.333,,,71166665.0,298433333.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Nhận cổ tức,10.400.000.000,5.400.000.000,,,10400000000.0,5400000000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Trả vay,10.000.000.000,-,,,10000000000.0,
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Lãi vay,6.146.666.668,3.574.999.999,,,6146666668.0,3574999999.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Vay,-,110.000.000.000,,,,110000000000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,Công ty con,Cổ tức phải thu,-,11.700.000.000,,,,11700000000.0
Nam Long SPV,Nam Long SPV,Nam Long SPV,Công ty con,Góp vốn,-,5.000.000.000,,,,5000000000.0
(*) Doanh thu từ bên liên quan (TM số 24.1),(*) Doanh thu từ bên liên quan (TM số 24.1),(*) Doanh thu từ bên liên quan (TM số 24.1),(*) Doanh thu từ bên liên quan (TM số 24.1),(*) Doanh thu từ bên liên quan (TM số 24.1),858.223.594.245,763.820.977.517,,,858223594245.0,763820977517.0
