row_label_raw,row_label_full,col_0,Contracted amount,Recognized amount,VND Remaining commitments,numeric__Contracted amount,numeric__Recognized amount,numeric__VND Remaining commitments
Ending Balance,Ending Balance,Ending Balance,Ending Balance,Ending Balance,Ending Balance,,,
Akari project (*),Akari project (*),Akari project (*),"2,762,289,288,495","1,572,120,786,989","1,190,168,501,506",,,
Can Tho project,Can Tho project,Can Tho project,"1,907,804,214,584","663,555,591,332","1,244,248,623,252",,,
VCT Project,VCT Project,VCT Project,"472,966,976,889","289,530,853,127","183,436,123,762",,,
Izumi project,Izumi project,Izumi project,"320,502,518,137","131,969,096,518","188,533,421,619",,,
Mizuki project,Mizuki project,Mizuki project,"186,445,652,134","4,424,402,384","182,021,249,750",,,
Southgate Project,Southgate Project,Southgate Project,"119,369,625,742","25,605,255,581","93,764,370,161",,,
Others,Others,Others,"152,606,993,146","14,961,047,277","137,645,945,869",,,
TOTAL,TOTAL,TOTAL,"5,921,985,269,127","2,702,167,033,208","3,219,818,235,919",,,
Beginning Balance,Beginning Balance,Beginning Balance,Beginning Balance,Beginning Balance,Beginning Balance,,,
Akari project,Akari project,Akari project,"5,239,362,976,081","3,067,127,770,524","2,172,235,205,557",,,
Can Tho project,Can Tho project,Can Tho project,"1,390,735,641,350","336,311,341,260","1,054,424,300,090",,,
Izumi project,Izumi project,Izumi project,"847,685,842,901","79,312,992,938","768,372,849,963",,,
Mizuki project,Mizuki project,Mizuki project,"229,109,661,121","126,770,891,927","102,338,769,194",,,
Southgate Project,Southgate Project,Southgate Project,"193,163,294,625","129,471,926,611","63,691,368,014",,,
VCT Project,VCT Project,VCT Project,"53,465,908,681","7,292,319,480","46,173,589,201",,,
Others,Others,Others,"252,181,135,703","38,094,343,089","214,086,792,614",,,
TOTAL,TOTAL,TOTAL,"8,205,704,460,462","3,784,381,585,829","4,421,322,874,633",,,
