row_label_raw,row_label_full,Subsidiaries,Subsidiaries_1,Ending balance,Ending balance_1,Beginning balance,Beginning balance_1,numeric__Subsidiaries_1,numeric__Ending balance,numeric__Ending balance_1,numeric__Beginning balance,numeric__Beginning balance_1
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Interest (direct) %,Cost of investment VND,Interest (direct) %,Cost of investment VND,,,,,
Dong Nai Waterfront,Subsidiaries > Dong Nai Waterfront,Dong Nai Waterfront,,65.10,"3,766,411,218,783",65.10,"3,766,411,218,783",,6510.0,,6510.0,
Nam Long VCD,Subsidiaries > Nam Long VCD,Nam Long VCD,(iii),91.59,"2,187,365,370,000",91.59,"2,187,365,370,000",,9159.0,,9159.0,
Southgate,Subsidiaries > Southgate,Southgate,(vi),60.00,"1,302,394,102,740",60.00,"1,302,394,102,740",,6000.0,,6000.0,
Nam Long Land,Subsidiaries > Nam Long Land,Nam Long Land,(ii),100.00,"668,334,000,000",100.00,"50,000,000,000",,10000.0,,10000.0,
Nam Khang,Subsidiaries > Nam Khang,Nam Khang,,100.00,"585,981,690,000",100.00,"585,981,690,000",,10000.0,,10000.0,
Nam Long CP,Subsidiaries > Nam Long CP,Nam Long CP,(iv),100.00,"505,590,909,656",100.00,"305,590,909,656",,10000.0,,10000.0,
Nam Phan,Subsidiaries > Nam Phan,Nam Phan,(vii),99.99,"351,698,486,717",99.99,"411,695,816,717",,9999.0,,9999.0,
NLG - NNR - HR Fuji,Subsidiaries > NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,(i),50.00,"310,214,839,707",50.00,"310,214,839,707",,5000.0,,5000.0,
Kikyo Valora,Subsidiaries > Kikyo Valora,Kikyo Valora,(i),50.00,"291,500,000,000",50.00,"291,500,000,000",,5000.0,,5000.0,
Nam Phat Land,Subsidiaries > Nam Phat Land,Nam Phat Land,,90.00,"270,000,000,000",90.00,"270,000,000,000",,9000.0,,9000.0,
Nguyen Son,Subsidiaries > Nguyen Son,Nguyen Son,(vii),87.33,"97,989,372,800",87.33,"173,967,062,800",,8733.0,,8733.0,
Nam Long SPV,Subsidiaries > Nam Long SPV,Nam Long SPV,,100.00,"5,000,000,000",100.00,"5,000,000,000",,10000.0,,10000.0,
Nam Long ADC,Subsidiaries > Nam Long ADC,Nam Long ADC,(v),-,-,100.00,"296,804,963,000",,,,10000.0,
Nam Long Retail,Subsidiaries > Nam Long Retail,Nam Long Retail,(v),-,-,100.00,"100,000,000,000",,,,10000.0,
Nam Long Mekong,Subsidiaries > Nam Long Mekong,Nam Long Mekong,(v),-,-,98.98,"62,022,500,000",,,,9898.0,
Nam Long Service,Subsidiaries > Nam Long Service,Nam Long Service,(v),-,-,100.00,"23,874,000,000",,,,10000.0,
Nam Long Bus,Subsidiaries > Nam Long Bus,Nam Long Bus,(v),-,-,100.00,"20,000,000,000",,,,10000.0,
Trading Floor,Subsidiaries > Trading Floor,Trading Floor,(v),-,-,100.00,"6,000,000,000",,,,10000.0,
Loc An Thanh,Subsidiaries > Loc An Thanh,Loc An Thanh,(viii),100.00,-,-,-,,10000.0,,,
TOTAL,TOTAL,TOTAL,,,"10,342,479,990,403",,"10,168,822,473,403",,,,,
