row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,VNDBeginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__VNDBeginning balance
Short-term advance from customers (Note 16),Short-term advance from customers (Note 16),Short-term advance from customers (Note 16),Short-term advance from customers (Note 16),Short-term advance from customers (Note 16),Short-term advance from customers (Note 16),Short-term advance from customers (Note 16),,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Advance to project management services,"286,544,324,600","299,327,007,000",,,,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Subsidiary,Advances to purchase a part of Akari project,"267,000,000,000","267,000,000,000",,,,
Tan Hiep,Tan Hiep,Tan Hiep,Related party,Purchase apartment,"2,118,000,000",-,,,,
Nam Long Service,Nam Long Service,Nam Long Service,Related party,Purchase apartment,"1,529,697,000",-,,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Subsidiary,Advances to service,-,"3,275,072,193",,,,
,,,,,"557,192,021,600","569,602,079,193",,,,
