row_label_raw,row_label_full,Nam Long Land > Nam Khang > Nam LongMekong,Công ty con,Phí dịch vụtur vấn quản lý > Phí dịch vụxây dựng,254.728.578.542 > 129.627.801.023 > 95.734.005.660,128.937.563.520 > 18.839.205.231 > -,numeric__Công ty con,numeric__Phí dịch vụtur vấn quản lý > Phí dịch vụxây dựng,numeric__254.728.578.542 > 129.627.801.023 > 95.734.005.660,numeric__128.937.563.520 > 18.839.205.231 > -
Sàn Giao Dịch,Sàn Giao Dịch,Sàn Giao Dịch,Công ty con,Dịch vụ môi giới,34.262.093.969,14.505.474.997,,,34262093969.0,14505474997.0
Nam Long CP,Nam Long CP,Nam Long CP,Công ty con,Chi phí thuê,20.275.355.094,18.116.748.741,,,20275355094.0,18116748741.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Phí dịch vụtur vấn quản lý,5.665.694.799,3.922.524.600,,,5665694799.0,3922524600.0
Dịch vụNam Long,Dịch vụNam Long,Dịch vụNam Long,Công ty con,Phí dịch vụtur vấn quản lý,4.168.022.858,15.375.197.271,,,4168022858.0,15375197271.0
Anabuki,Anabuki,Anabuki,Công tyliên kết,Phí dịch vụtur vấn quản lý,3.936.595.000,4.932.470.978,,,3936595000.0,4932470978.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Phí dịch vụtur vấn quản lý,166.425.590,1.892.849.560,,,166425590.0,1892849560.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,Công ty con,Phí dịch vụtur vấn quản lý,112.814.254,1.503.693.324,,,112814254.0,1503693324.0
Southgate,Southgate,Southgate,Công ty con,Phí dịch vụtur vấn quản lý,109.161.479,-,,,109161479.0,
,,,,,548.786.548.268,208.025.728.222,,,548786548268.0,208025728222.0
