row_label_raw,row_label_full,Machinery and equipment,5 - 12 years,numeric__5 - 12 years
Buildings and structures,Buildings and structures,Buildings and structures,25 years,
Means of transportation,Means of transportation,Means of transportation,6 - 8 years,
Office equipment,Office equipment,Office equipment,4 - 8 years,
Computer software,Computer software,Computer software,3 years,
