row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Cost-to-complete of projects,Cost-to-complete of projects,Cost-to-complete of projects,"712,509,879,461","543,386,168,451",,
Interest expense payables,Interest expense payables,Interest expense payables,"176,919,475,680","189,734,156,122",,
Interest supporting fee and guarantee fee,Interest supporting fee and guarantee fee,Interest supporting fee and guarantee fee,"126,430,177,956",-,,
Other operating costs,Other operating costs,Other operating costs,"1,159,501,850","1,179,823,908",,
TOTAL,TOTAL,TOTAL,"1,017,019,034,947","734,300,148,481",,
In which:,In which:,In which:,In which:,In which:,,
Accrued expenses to other parties,Accrued expenses to other parties,Accrued expenses to other parties,"885,480,905,957","601,013,274,059",,
Accrued expenses to related parties (Note 29),Accrued expenses to related parties (Note 29),Accrued expenses to related parties (Note 29),"131,538,128,990","133,286,874,422",,
