row_label_raw,row_label_full,Full name > Mr Lucas Ignatius Loh Jen Yuh > Mr Van Viet Son > Mr Nguyen Huy Duc > Mr Tran Xuan Ngoc > Ms Nguyen Thanh Huong > Mr Pham Dinh Huy,Position > General Director of Nam Long Group > Chief Executive Director of Nam Long Land (resigned on 20 September 2024) > Chief Financial Officer (resigned on 16 September 2024) > Chief Executive Officer Group cum Chief Executive Officer of Nam Long Land and Managing Director of Commercial & Ventures Business Unit resigned on 30 March 2024) > Chief Investment Officer cum Chief Executive Director of Nam Long Commercial Property > Chief Investment Officer (resigned on 2 May 2024),"Remuneration > Current year > 11,897,793,821 > 6,313,935,793 > 5,559,628,178 > 4,784,346,314 > 4,380,009,091 > 2,084,069,292","Remuneration > Previous year > - > 4,847,919,552 > 6,033,857,143 > 12,882,625,000 > 5,014,921,666",numeric__Position > General Director of Nam Long Group > Chief Executive Director of Nam Long Land (resigned on 20 September 2024) > Chief Financial Officer (resigned on 16 September 2024) > Chief Executive Officer Group cum Chief Executive Officer of Nam Long Land and Managing Director of Commercial & Ventures Business Unit resigned on 30 March 2024) > Chief Investment Officer cum Chief Executive Director of Nam Long Commercial Property > Chief Investment Officer (resigned on 2 May 2024),"numeric__Remuneration > Current year > 11,897,793,821 > 6,313,935,793 > 5,559,628,178 > 4,784,346,314 > 4,380,009,091 > 2,084,069,292","numeric__Remuneration > Previous year > - > 4,847,919,552 > 6,033,857,143 > 12,882,625,000 > 5,014,921,666"
Mr Chan Hong Wai,Mr Chan Hong Wai,Mr Chan Hong Wai,Chief Financial Officer,"1,318,084,987",-,,,
TOTAL,TOTAL,TOTAL,,"36,337,867,476","28,779,323,361",,,
