row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.403.328.285,774.899.200,2.339.814.218,13.906.182.415,18.424.224.118,1403328285.0,774899200.0,2339814218.0,13906182415.0,18424224118.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,505.000.000,-,1.055.880.000,1.560.880.000,,505000000.0,,1055880000.0,1560880000.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,-,-,-,(404.696.000),(404.696.000),,,,-404696000.0,-404696000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.403.328.285,1.279.899.200,2.339.814.218,14.557.366.415,19.580.408.118,1403328285.0,1279899200.0,2339814218.0,14557366415.0,19580408118.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,558.209.191,790.363.091,12.538.002.000,13.886.574.282,,558209191.0,790363091.0,12538002000.0,13886574282.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(954.262.877),(670.034.920),(1.217.799.113),(12.360.775.186),(15.202.872.096),-954262877.0,-670034920.0,-1217799113.0,-12360775186.0,-15202872096.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(56.133.131),(142.339.525),(271.830.121),(1.272.536.815),(1.742.839.592),-56133131.0,-142339525.0,-271830121.0,-1272536815.0,-1742839592.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,-,-,-,356.650.139,356.650.139,,,,356650139.0,356650139.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(1.010.396.008),(812.374.445),(1.489.629.234),(13.276.661.862),(16.589.061.549),-1010396008.0,-812374445.0,-1489629234.0,-13276661862.0,-16589061549.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,449.065.408,104.864.280,1.122.015.105,1.545.407.229,3.221.352.022,449065408.0,104864280.0,1122015105.0,1545407229.0,3221352022.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,392.932.277,467.524.755,850.184.984,1.280.704.553,2.991.346.569,392932277.0,467524755.0,850184984.0,1280704553.0,2991346569.0
