row_label_raw,row_label_full,Code,RESOURCES,Notes,Ending balance,Beginning balance,numeric__RESOURCES,numeric__Notes,numeric__Ending balance,numeric__Beginning balance
300,300,300,C. LIABILITIES,,"11,214,883,945,351","10,505,569,027,783",,,,
310,310,310,I. Current liabilities,,"7,639,151,382,932","8,156,804,925,377",,,,
311,310 > 311,311,1. Short-term trade payables,15,"1,015,014,298,623","921,816,891,136",,15.0,,
312,310 > 312,312,2. Short-term advances from customers,16,"2,632,024,069,040","3,374,988,271,195",,16.0,,
313,310 > 313,313,3. Statutory obligations,17,"297,123,206,300","70,372,321,481",,17.0,,
314,314,314,4. Payables to employees,,"11,188,343,531","16,864,006,773",,,,
315,314 > 315,315,5. Short-term accrued expenses,18,"1,017,019,034,947","734,300,148,481",,18.0,,
318,318,318,6. Short-term unearned revenues,,"4,555,597,758",-,,,,
319,318 > 319,319,7. Other short-term payables,19,"878,815,439,678","998,305,811,054",,19.0,,
320,318 > 320,320,8. Short-term loans,20,"1,739,522,673,755","1,981,133,686,159",,20.0,,
322,318 > 322,322,9. Bonus and welfare fund,21,"43,888,719,300","59,023,789,098",,21.0,,
330,330,330,II. Non-current liabilities,,"3,575,732,562,419","2,348,764,102,406",,,,
337,337,337,1. Other long-term liabilities,,"2,768,559,555","2,424,559,555",,,,
338,337 > 338,338,2. Long-term loans,20,"3,532,557,508,574","2,295,323,102,393",,20.0,,
342,337 > 342,342,3. Long-term provisions,22,"40,406,494,290","51,016,440,458",,22.0,,
400,400,400,D. OWNERS' EQUITY,,"8,861,028,279,314","8,249,599,354,013",,,,
410,400 > 410,410,I. Capital,23.1,"8,861,028,279,314","8,249,599,354,013",,231.0,,
411,400 > 411,411,1. Share capital,23.1,"3,847,774,710,000","3,847,774,710,000",,231.0,,
411a,411a,411a,- Shares with voting rights,,"3,847,774,710,000","3,847,774,710,000",,,,
412,411a > 412,412,2. Share premium,23.1,"2,431,271,455,967","2,431,271,455,967",,231.0,,
418,411a > 418,418,3. Investment and development fund,23.1,"5,940,860,165","5,940,860,165",,231.0,,
421,411a > 421,421,4. Undistributed earnings,23.1,"2,576,041,253,182","1,964,612,327,881",,231.0,,
421a,421a,421a,- Undistributed earnings up to the prior year-end,,"1,738,748,369,852","1,961,623,794,159",,,,
421b,421b,421b,- Undistributed earnings of current year,,"837,292,883,330","2,988,533,722",,,,
440,440,440,TOTAL LIABILITIES AND OWNERS' EQUITY,,"20,075,912,224,665","18,755,168,381,796",,,,
