row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Ending balance,Beginning balance,,
Inventory properties under development (i),Inventory properties under development (i),Inventory properties under development (i),"2,702,144,720,601","3,380,273,331,049",,
Project management services (ii),Project management services (ii),Project management services (ii),"33,507,406,113","29,689,026,563",,
TOTAL,TOTAL,TOTAL,"2,735,652,126,714","3,409,962,357,612",,
(i) Inventory properties under development:,(i) Inventory properties under development:,(i) Inventory properties under development:,(i) Inventory properties under development:,(i) Inventory properties under development:,,
Can Tho Project (**),Can Tho Project (**),Can Tho Project (**),"1,849,664,002,876","1,270,590,603,214",,
Akari Project (**),Akari Project (**),Akari Project (**),"552,952,765,915","1,849,501,178,290",,
Phuoc Long B Project - extension,Phuoc Long B Project - extension,Phuoc Long B Project - extension,"123,577,414,433","106,919,700,141",,
Tan Thuan Dong Project,Tan Thuan Dong Project,Tan Thuan Dong Project,"79,855,192,195","76,539,464,355",,
Long An 36ha Project (*),Long An 36ha Project (*),Long An 36ha Project (*),"18,491,524,622","14,185,627,146",,
VSIP Project,VSIP Project,VSIP Project,"17,610,171,621","17,610,171,621",,
Areco (Flora Novia) Project,Areco (Flora Novia) Project,Areco (Flora Novia) Project,"17,160,858,680","7,879,826,149",,
Go O Moi Project,Go O Moi Project,Go O Moi Project,"12,312,418,134","9,850,149,810",,
Other projects,Other projects,Other projects,"30,520,372,125","27,196,610,323",,
(ii) Project management services:,(ii) Project management services:,(ii) Project management services:,(ii) Project management services:,(ii) Project management services:,,
VCT Project,VCT Project,VCT Project,"26,057,514,909","9,509,199,847",,
Phu Huu Project,Phu Huu Project,Phu Huu Project,"5,385,578,710","5,385,578,710",,
Long An Project (*),Long An Project (*),Long An Project (*),-,"9,205,365,331",,
Other projects,Other projects,Other projects,"2,064,312,494","5,588,882,675",,
