row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Beginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Beginning balance
Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),Short-term trade receivables (Note 7),,,,
Southgate,Southgate,Southgate,Subsidiary,Project management services,"145,779,418,615","78,820,841,280",,,,
Paragon,Paragon,Paragon,Jointly-controlled entity,Project management services,"66,973,000,000","66,973,000,000",,,,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Jointly-controlled entity,Project management services,"49,190,972,315","98,520,853,118",,,,
Nguyen Son,Nguyen Son,Nguyen Son,Subsidiary,Management consultant fee,"32,602,359,901","32,602,359,901",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Rental revenue,"22,181,404,576","21,595,105,325",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Management consultant fee,"8,932,836,062",-,,,,
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Subsidiary,Management consultant fee,"7,579,429,438","7,579,429,438",,,,
Anabuki,Anabuki,Anabuki,Associate,Management consultant fee,"2,478,065,884","2,478,065,884",,,,
Nam Long Services,Nam Long Services,Nam Long Services,Subsidiary,Management consultant fee,"1,839,212,590","733,212,590",,,,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Subsidiary,Management consultant fee,"312,610,944","1,906,811,448",,,,
Thai Binh,Thai Binh,Thai Binh,Related party,Disposal of investment,-,"278,900,000,000",,,,
Dong Nai Waterfront,Dong Nai Waterfront,Dong Nai Waterfront,Subsidiary,Project management services,-,"312,176,986",,,,
,,,,,"337,869,310,325","590,421,855,970",,,,
