row_label_raw,row_label_full,Công ty con,col_1,Số cuối năm > Tỷ lệ vốnnăm giữ%,Số cuối năm > Giá gốc đầu tưVND,Số đầu năm > Tỷ lệ vốnnăm giữ%,Số đầu năm > Giá gốc đầu tưVND,numeric__col_1,numeric__Số cuối năm > Tỷ lệ vốnnăm giữ%,numeric__Số cuối năm > Giá gốc đầu tưVND,numeric__Số đầu năm > Tỷ lệ vốnnăm giữ%,numeric__Số đầu năm > Giá gốc đầu tưVND
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,,"65,10",3.766.411.218.783,"65,10",3.766.411.218.783,,65.1,3766411218783.0,65.1,3766411218783.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,(iii),"91,59",2.187.365.370.000,"91,59",2.187.365.370.000,,91.59,2187365370000.0,91.59,2187365370000.0
Southgate,Southgate,Southgate,(vi),"60,00",1.302.394.102.740,"60,00",1.302.394.102.740,,60.0,1302394102740.0,60.0,1302394102740.0
Nam Long Land,Nam Long Land,Nam Long Land,(ii),"100,00",668.334.000.000,"100,00",50.000.000.000,,100.0,668334000000.0,100.0,50000000000.0
Nam Khang,Nam Khang,Nam Khang,,"100,00",585.981.690.000,"100,00",585.981.690.000,,100.0,585981690000.0,100.0,585981690000.0
Nam Long CP,Nam Long CP,Nam Long CP,(iv),"100,00",505.590.909.656,"100,00",305.590.909.656,,100.0,505590909656.0,100.0,305590909656.0
Nam Phan,Nam Phan,Nam Phan,(vii),"99,99",351.698.486.717,"99,99",411.695.816.717,,99.99,351698486717.0,99.99,411695816717.0
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,(i),"50,00",310.214.839.707,"50,00",310.214.839.707,,50.0,310214839707.0,50.0,310214839707.0
Kikyo Valora,Kikyo Valora,Kikyo Valora,(i),"50,00",291.500.000.000,"50,00",291.500.000.000,,50.0,291500000000.0,50.0,291500000000.0
Nam Phát Land,Nam Phát Land,Nam Phát Land,,"90,00",270.000.000.000,"90,00",270.000.000.000,,90.0,270000000000.0,90.0,270000000000.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,(vii),"87,33",97.989.372.800,"87,33",173.967.062.800,,87.33,97989372800.0,87.33,173967062800.0
Nam Long SPV,Nam Long SPV,Nam Long SPV,,"100,00",5.000.000.000,"100,00",5.000.000.000,,100.0,5000000000.0,100.0,5000000000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,(v),-,-,"100,00",296.804.963.000,,,,100.0,296804963000.0
Nam Long Retail,Nam Long Retail,Nam Long Retail,(v),-,-,"100,00",100.000.000.000,,,,100.0,100000000000.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,(v),-,-,"98,98",62.022.500.000,,,,98.98,62022500000.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,(v),-,-,"100,00",23.874.000.000,,,,100.0,23874000000.0
Vận tải Nam Long,Vận tải Nam Long,Vận tải Nam Long,(v),-,-,"100,00",20.000.000.000,,,,100.0,20000000000.0
Sản Giao Dịch,Sản Giao Dịch,Sản Giao Dịch,(v),-,-,"100,00",6.000.000.000,,,,100.0,6000000000.0
Lộc An Thạnh,Lộc An Thạnh,Lộc An Thạnh,(viii),"100,00",-,-,-,,100.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,10.342.479.990.403,,10.168.822.473.403,,,10342479990403.0,,10168822473403.0
