row_label_raw,row_label_full,Related parties,Relationship,Transactions,Ending balance,Beginning balance,numeric__Relationship,numeric__Transactions,numeric__Ending balance,numeric__Beginning balance
Long-term loan (Note 20.2),Long-term loan (Note 20.2),Long-term loan (Note 20.2),Long-term loan (Note 20.2),Long-term loan (Note 20.2),Long-term loan (Note 20.2),Long-term loan (Note 20.2),,,,
Nam Phan,Nam Phan,Nam Phan,Subsidiary,Loan,"176,042,091,910",-,,,,
Short-term accrued expenses (Note 18),Short-term accrued expenses (Note 18),Short-term accrued expenses (Note 18),Short-term accrued expenses (Note 18),Short-term accrued expenses (Note 18),Short-term accrued expenses (Note 18),Short-term accrued expenses (Note 18),,,,
Nam Phan,Nam Phan,Nam Phan,Subsidiary,Loan interest,"45,129,516,186","31,677,115,244",,,,
Nguyen Son,Nguyen Son,Nguyen Son,Subsidiary,Loan interest,"39,008,624,334","68,367,599,395",,,,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Subsidiary,Loan interest,"20,816,666,672","15,716,666,670",,,,
Nam Khang,Nam Khang,Nam Khang,Subsidiary,Loan interest,"9,364,677,779","965,427,778",,,,
Nam Phat Land,Nam Phat Land,Nam Phat Land,Subsidiary,Loan interest,"6,621,666,667","3,574,999,999",,,,
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Subsidiary,Loan interest,"6,429,934,431","10,500,022,413",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Loan interest,"2,556,209,588","2,485,042,923",,,,
Nam Long Land,Nam Long Land,Nam Long Land,Subsidiary,Consultation fee,"957,500,000",-,,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Loan interest,"653,333,333",-,,,,
,,,,,"131,538,128,990","133,286,874,422",,,,
