row_label_raw,row_label_full,col_0,Separate balance sheet,Separate balance sheet_1,Separate income statement,Separate income statement_1,numeric__Separate balance sheet,numeric__Separate balance sheet_1,numeric__Separate income statement,numeric__Separate income statement_1
,,,Ending balance,Beginning balance,Current year,Previous year,,,,
Prepayment of corporate income tax based on payment progress of customers (i),Prepayment of corporate income tax based on payment progress of customers (i),Prepayment of corporate income tax based on payment progress of customers (i),"27,696,167,527","40,955,096,367","(13,258,928,840)","3,890,972,892",,,,
Accrued expenses,Accrued expenses,Accrued expenses,"16,135,508,295","16,122,294,265","13,214,030","(37,612,646,316)",,,,
Provision for bad debts,Provision for bad debts,Provision for bad debts,"10,117,997,839",-,"10,117,997,839",-,,,,
Temporary difference in cost of sales,Temporary difference in cost of sales,Temporary difference in cost of sales,"1,978,625,148","2,505,056,209","(526,431,061)","352,179,726",,,,
Tax loss available for offset against future taxable income,Tax loss available for offset against future taxable income,Tax loss available for offset against future taxable income,-,"92,926,527,946","(92,926,527,946)","92,926,527,946",,,,
Deferred tax assets,Deferred tax assets,Deferred tax assets,"55,928,298,809","152,508,974,787",,,,,,
Net deferred tax (expense) income,Net deferred tax (expense) income,Net deferred tax (expense) income,,,"(96,580,675,978)","59,557,034,248",,,,
