row_label_raw,row_label_full,col_0,Current year,VND Previous year,numeric__Current year,numeric__VND Previous year
Share profit to BCC partners,Share profit to BCC partners,Share profit to BCC partners,"653,805,948,982","92,678,034,356",,
Interest expenses,Interest expenses,Interest expenses,"390,368,065,149","411,086,699,653",,
Bond issuance fees and other fees,Bond issuance fees and other fees,Bond issuance fees and other fees,"101,753,312,499","42,018,342,661",,
Loss from disposal of investment,Loss from disposal of investment,Loss from disposal of investment,"2,562,500,000",-,,
Others,Others,Others,-,"1,055,555,555",,
TOTAL,TOTAL,TOTAL,"1,148,489,826,630","546,838,632,225",,
In which:,In which:,In which:,In which:,In which:,,
Finance expenses to related parties,Finance expenses to related parties,Finance expenses to related parties,"697,146,048,055","158,469,284,101",,
Finance expenses to other parties,Finance expenses to other parties,Finance expenses to other parties,"451,343,778,575","388,369,348,124",,
