row_label_raw,row_label_full,Nam Long Land > Nam Khang > Nam Long Mekong,Subsidiary,Management consultant fee > Construction service expenses,"254,728,578,542 > 129,627,801,023 > 95,734,005,660","128,937,563,520 > 18,839,205,231 > -",numeric__Subsidiary,numeric__Management consultant fee > Construction service expenses,"numeric__254,728,578,542 > 129,627,801,023 > 95,734,005,660","numeric__128,937,563,520 > 18,839,205,231 > -"
Trading Floor,Trading Floor,Trading Floor,Subsidiary,Commission fee,"34,262,093,969","14,505,474,997",,,,
Nam Long CP,Nam Long CP,Nam Long CP,Subsidiary,Rental fee,"20,275,355,094","18,116,748,741",,,,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Subsidiary,Management consultant fee,"5,665,694,799","3,922,524,600",,,,
Nam Long Services,Nam Long Services,Nam Long Services,Subsidiary,Management consultant fee,"4,168,022,858","15,375,197,271",,,,
Anabuki,Anabuki,Anabuki,Associate,Management consultant fee,"3,936,595,000","4,932,470,978",,,,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Subsidiary,Management consultant fee,"166,425,590","1,892,849,560",,,,
Nam Long Bus,Nam Long Bus,Nam Long Bus,Subsidiary,Management consultant fee,"112,814,254","1,503,693,324",,,,
Southgate,Southgate,Southgate,Subsidiary,Management consultant fee,"109,161,479",-,,,,
,,,,,"548,786,548,268","208,025,728,222",,,,
