row_label_raw,row_label_full,Arrangement/guarantor organizations > VNDIRECT Securities Joint Stock Company,Owners > VNDIRECT Securities Joint Stock Company > Sun Life Vietnam Insurance L.L.C > Generali Vietnam Life Insurance L.L.C > Post-Telecommunication Joint Stock Insurance Corporation > KIS Vietnam Securities Joint Stock Company > AIA Vietnam Insurance L.L.C > FWD Vietnam Insurance L.L.C,"31 December 2024 VND > 126,000,000,000 > 100,000,000,000 > 70,000,000,000 > 16,000,000,000 > 12,000,000,000",Interest rate (% p.a.) > 9.50,Maturity date > 17 June 2029,Purpose > Implement the Company's investment plans and projects,"Collateral > 30,560,749 Southgate's shares owned by the Company (Note 14.1)",numeric__Owners > VNDIRECT Securities Joint Stock Company > Sun Life Vietnam Insurance L.L.C > Generali Vietnam Life Insurance L.L.C > Post-Telecommunication Joint Stock Insurance Corporation > KIS Vietnam Securities Joint Stock Company > AIA Vietnam Insurance L.L.C > FWD Vietnam Insurance L.L.C,"numeric__31 December 2024 VND > 126,000,000,000 > 100,000,000,000 > 70,000,000,000 > 16,000,000,000 > 12,000,000,000",numeric__Interest rate (% p.a.) > 9.50,numeric__Maturity date > 17 June 2029,numeric__Purpose > Implement the Company's investment plans and projects,"numeric__Collateral > 30,560,749 Southgate's shares owned by the Company (Note 14.1)"
Less:Issuance costs,Less:Issuance costs,Less:Issuance costs,Less:Issuance costs,"(47,908,949,963)",,,,,,,,,,
TOTAL,TOTAL,TOTAL,TOTAL,"3,612,091,050,037",,,,,,,,,,
In which:Non-current portion,In which:Non-current portion,In which:Non-current portion,In which:Non-current portion,"2,956,515,416,664",,,,,,,,,,
Current portion,Current portion,Current portion,Current portion,"655,575,633,373",,,,,,,,,,
