row_label_raw,row_label_full,NLG - NNR - HRFuji,Công ty con,Nhận góp vốnHĐHTKD -Dự án Akari,583.000.000.000,583.000.000.000_1,numeric__Công ty con,numeric__Nhận góp vốnHĐHTKD -Dự án Akari,numeric__583.000.000.000,numeric__583.000.000.000_1
NLG - NNR - HRFuji,NLG - NNR - HRFuji,NLG - NNR - HRFuji,Công ty con,Chia lợi nhuận -Dự án Akari,133.454.021.559,220.648.072.577,,,133454021559.0,220648072577.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Nhận góp vốnHĐHTKD -Dự án Ehome,34.728.474.884,16.993.724.484,,,34728474884.0,16993724484.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Chia lợi nhuận -Dự án Ehome,-,46.734.750.400,,,,46734750400.0
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Lãi vay,660.666.665,77.500.000,,,660666665.0,77500000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Khác,138.678.918,138.678.918,,,138678918.0,138678918.0
,,,,,751.981.842.026,867.592.726.379,,,751981842026.0,867592726379.0
Vay ngắn hạn (TM số 20.1),Vay ngắn hạn (TM số 20.1),Vay ngắn hạn (TM số 20.1),Vay ngắn hạn (TM số 20.1),Vay ngắn hạn (TM số 20.1),Vay ngắn hạn (TM số 20.1),Vay ngắn hạn (TM số 20.1),,,,
Nam Khang,Vay ngắn hạn (TM số 20.1) > Nam Khang,Nam Khang,Công ty con,Vay,105.000.000.000,105.000.000.000,,,105000000000.0,105000000000.0
Nam Phát Land,Vay ngắn hạn (TM số 20.1) > Nam Phát Land,Nam Phát Land,Công ty con,Vay,100.000.000.000,110.000.000.000,,,100000000000.0,110000000000.0
Kikyo Valora,Vay ngắn hạn (TM số 20.1) > Kikyo Valora,Kikyo Valora,Công ty con,Vay,100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
Nam LongMekong,Vay ngắn hạn (TM số 20.1) > Nam LongMekong,Nam LongMekong,Công ty con,Vay,48.020.552.171,49.020.552.171,,,48020552171.0,49020552171.0
Nam Long CP,Vay ngắn hạn (TM số 20.1) > Nam Long CP,Nam Long CP,Công ty con,Vay,40.000.000.000,-,,,40000000000.0,
Nam Long Retail,Vay ngắn hạn (TM số 20.1) > Nam Long Retail,Nam Long Retail,Công ty con,Vay,15.000.000.000,-,,,15000000000.0,
Nam Phan,Vay ngắn hạn (TM số 20.1) > Nam Phan,Nam Phan,Công ty con,Vay,-,183.042.091.910,,,,183042091910.0
Nguyên Sơn,Vay ngắn hạn (TM số 20.1) > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,-,36.000.000.000,,,,36000000000.0
Vận tải Nam Long,Vay ngắn hạn (TM số 20.1) > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Vay,-,1.400.000.000,,,,1400000000.0
,,,,,408.020.552.171,584.462.644.081,,,408020552171.0,584462644081.0
